country,job_field,job_title,company_name,salary,remote_location,non_remote_location,job_description,rating,post_date,job_type
Australia,product manager,Product Manager - Junior Support,Null,Null,Null,Somersby NSW,Learn and support product cataloguing function to optimise sales potential of every product.,Null,2022-07-25 20:54:01.321810,Full-time
Australia,product manager,Product Manager,Null,131094151609,Null,Hybrid remote in New South Wales,"Manage end-to-end product lifecycle, helping to define, de-risk and execute against product vision.",Null,2022-08-09 20:54:01.327080,Null
Australia,product manager,Product Manager,InfoTrack,Null,Null,Australia,The Product Manager role is responsible for the product strategy and tactical implementation of our core products.,3.9,2022-08-06 20:54:01.332609,Null
Australia,product manager,"Manager - Product Management, Acceptance",MasterCard,Null,Null,St Leonards NSW,"Leverage working knowledge of Mastercard business, systems, products and customer requirements in making fact-based business and product decisions.",4.0,2022-08-11 20:54:01.337528,Full-time
Australia,product manager,Product Manager,Null,Null,Null,Pyrmont NSW 2009,At least 2 years working in a product manager role.,Null,2022-07-24 20:54:01.341930,Full-time
Australia,product manager,Principal Product Manager,NSW Government -Service NSW,142087170935,+1 location,Hybrid remote in Sydney NSW+1 location,Proactively seek to unify our customers’ experience across the product offering by engaging with other product teams.,4.0,2022-07-13 20:54:01.348795,Null
Australia,product manager,Junior Product Manager,The Just Group,Null,Null,Melbourne VIC,Supporting the product team with administrative needs.,3.6,2022-07-13 20:54:01.354319,Full-time
Australia,product manager,Product Manager,Null,Null,Null,Melbourne VIC,Creative mindset to innovate product lines.,Null,2022-07-13 20:54:01.358806,Full-time
Australia,product manager,"Product Manager, Chrome OS",Google,Null,Null,Sydney NSW,Experience managing day-to-day product direction.,4.3,2022-07-13 20:54:01.364392,Full-time
Australia,product manager,"Manager, Product Experience Design",MasterCard,Null,Null,St Leonards NSW,"In this role you will be working with an expert team of creatives, SMEs, product development specialists and developers to deliver product innovation events at…",4.0,2022-08-02 20:54:01.369632,Full-time
Australia,product manager,Junior Product Manager,Mattel,Null,Null,Richmond VIC 3121,"Liaising with global and regional Mattel offices on product issues including product development, compliance, pricing, avails, assortment mixes, global product…",4.0,2022-07-15 20:54:01.374719,Full-time
Australia,product manager,Senior Product Manager (Customer Engagement),Flight Centre,Null,Null,Hybrid remote in Queensland,"As the Product Manager you’ll be responsible for the product planning and execution throughout the product life cycle, including: gathering and prioritising…",3.5,2022-07-13 20:54:01.381911,Full-time
Australia,product manager,Product Support Manager,Oracle,Null,Null,Brisbane QLD,You will interact frequently with customers and other managers.,3.8,2022-07-13 20:54:01.386781,Null
Australia,product manager,Product Manager - Accountants,MYOB,Null,Null,Melbourne VIC,Experience in leading product and delivery teams.,3.5,2022-07-13 20:54:01.392333,Null
Australia,product manager,Product Manager (Pumps),Null,Null,Null,Brisbane QLD,Driving revenue growth for all pumping products.,Null,2022-07-13 20:54:01.396833,Null
Australia,data scientist,DigitalBCG | GAMMA Data Scientist,Boston Consulting Group,Null,+2 locations,Perth WA+2 locations,Are able to explain sophisticated data science concepts in an understandable manner.,4.2,2022-08-11 20:54:03.249834,Null
Australia,data scientist,Data Scientist,Insurance Australia Group,Null,Null,Sydney NSW 2000,Minimum 5+ years’ experience in customer analytics or data science.,3.7,2022-08-12 20:54:03.254910,Permanent +1
Australia,data scientist,Junior Data Scientist,Sydney Water,103308,Null,Hybrid remote in Parramatta NSW,"Strong expertise and experience with data structures, data modelling and ETL process.",3.8,2022-08-11 20:54:03.261482,Null
Australia,data scientist,Data Scientist,Null,Null,Null,Sydney NSW,"To lead the delivery of data analytics projects, including project design and ideation; identification of appropriate data sets and methodologies; and…",Null,2022-08-12 20:54:03.266072,Full-time
Australia,data scientist,Data Scientist - Queanbeyan,Southern NSW Local Health District,100107118735,+1 location,Queanbeyan NSW+1 location,Demonstrated high level of ability and extensive experience in multiple dialects of SQL scripting including MS SQL Server including the use of complex coding to…,2.0,2022-08-08 20:54:03.272425,Null
Australia,data scientist,Data Scientist,Null,Null,Null,Brisbane QLD,"Lead data analysis, data design and modelling, metadata management, data migration, and other data and database related activities.",Null,2022-08-08 20:54:03.276973,Null
Australia,data scientist,Data Science Graduate/Undergraduate - Immed Start!,UGL Limited,Null,Null,North Shore NSW,"Graduates receive structured, on-the-job training, guided learning plans and leadership mentoring.",3.6,2022-07-27 20:54:03.282151,Graduate +1
Australia,data scientist,Consulting - Data & AI - 2022/23 Summer Vacationer Program (...,Deloitte,Null,+1 location,Melbourne VIC 3000+1 location,"By joining us, you’ll be trained on a variety of methods and tools including advanced visualisation, rapid prototyping, Natural Language Processing (NLP) and…",3.9,2022-07-19 20:54:03.288597,Seasonal
Australia,data scientist,Data Scientist,Rio Tinto,Null,Null,Brisbane QLD,"Help shape the Exploration data science team, while inspiring and supporting a growing community of citizen data scientists across Rio Tinto Exploration.",3.9,2022-07-14 20:54:03.294102,Null
Australia,data scientist,Data Scientist,QBE,Null,Null,Temporarily Remote in Sydney NSW,"Leading analytical conversation with business centred on “The art of the possible using data science”, exploring data from a modelling perspective, and…",3.6,2022-08-09 20:54:03.299348,Permanent +1
Australia,data scientist,Graduate Machine Learning (Canberra based),Null,Null,+1 location,Canberra ACT+1 location,"As a Machine Learning Graduate, you will have the opportunity to learn from Data Scientists, DevOps engineers, and our consulting team to learn and apply best…",Null,2022-07-13 20:54:03.304215,Graduate
Australia,data scientist,Data scientist,Findex,Null,Null,Remote in Australia,"Understanding of data structures, data modelling and software architecture.",4.0,2022-08-05 20:54:03.309393,Null
Australia,data scientist,"Lecturer, Statistics and Data Science",University of Wollongong,107177123775,Null,Wollongong NSW,This position will have responsibility for the development and coordination of biostatistics and data science subjects for public health programs.,4.3,2022-08-11 20:54:03.315861,Null
Australia,data scientist,Data Scientist,Null,Null,Null,Canberra ACT,"Bachelor’s degree in data science, data analytics, software engineering, or related STEM field.",Null,2022-07-13 20:54:03.320563,Full-time
Australia,data scientist,Data Scientist,Australian Prudential Regulation Authority (APRA),Null,Null,Sydney NSW,Enhancing APRA’s data science capabilities and facilitating exploration of data and business problems.,4.5,2022-08-03 20:54:03.325523,Null
Australia,marketing specialist,Marketing Specialist,CatholicCare Sydney,91080,Null,Remote in Lewisham TAS,Null,4.1,2022-08-12 20:54:05.551489,Null
Australia,marketing specialist,Marketing Specialist,Unisson Disability,70000,Null,Remote in Sydney NSW,Null,3.0,2022-07-13 20:54:05.557153,Null
Australia,marketing specialist,Digital and Creative Specialist,Queensland Health,Null,Null,Brisbane QLD,Null,3.7,2022-07-13 20:54:05.561916,Null
Australia,marketing specialist,Marketing Automation Specialist,Australian National University,8401996713,Null,Canberra ACT,Null,4.2,2022-08-01 20:54:05.567089,Null
Australia,marketing specialist,Digital Marketing Specialist (SEO),Baby Bunting,Null,Null,Dandenong VIC,Null,3.3,2022-07-13 20:54:05.571932,Full-time +1
Australia,marketing specialist,Sports Marketing Event Specialist (m/w/d),Red Bull,Null,Null,New South Wales,Null,4.0,2022-07-20 20:54:05.577875,Full-time
Australia,marketing specialist,Digital Marketing Specialist - Google Ads,Null,7000090000,Null,Remote in Fortitude Valley QLD 4006,Null,Null,2022-08-03 20:54:05.582397,Null
Australia,marketing specialist,Senior Content Specialist,KPMG,Null,Null,Sydney NSW,Null,3.9,2022-08-12 20:54:05.587335,Full-time
Australia,marketing specialist,Sales Enablement and Marketing Specialist,KPMG,Null,Null,Sydney NSW,Null,3.9,2022-08-11 20:54:05.592525,Full-time
Australia,marketing specialist,Digital Marketing Specialist,Null,Null,Remote,Remote,Null,Null,2022-07-27 20:54:05.596767,Null
Australia,marketing specialist,Marketing Specialist,Null,Null,Remote,Remote,Null,Null,2022-07-26 20:54:05.600815,Part-time
Australia,marketing specialist,Influencer Marketing Specialist,Null,Null,Null,Remote in Chadstone VIC 3148,Null,Null,2022-07-13 20:54:05.605196,Full-time
Australia,marketing specialist,Marketing Specialist,Null,Null,Null,Remote in Melbourne VIC,Null,Null,2022-07-13 20:54:05.609848,Full-time
Australia,marketing specialist,Marketing Propositions Senior Specialist (Telstra Plus),Telstra,Null,Null,Remote in Australia,Null,4.0,2022-07-13 20:54:05.614874,Full-time
Australia,marketing specialist,Community Program Specialist,Null,Null,Null,Sydney NSW,Null,Null,2022-08-04 20:54:05.619076,Null
Australia,ui ux-designer,Web / UX Designer,Null,Null,Remote,Remote,Actualise Design is looking for freelance/contract web / UX designers to assist with overflow and project work.,Null,2022-07-27 20:54:06.901473,Freelance
