company_name,country,job_description,job_field,job_title,job_type,non_remote_location,post_date,rating,salary
Kmart,AUSTRALIA,"  Building and updating dashboards, understanding the user requirements for data. Familiarity with enterprise data warehouses and visualisation tools (e.g.…",data analyst,Data Analyst,,Remote in Mulgrave VIC,2022-07-20,3.8,
Telstra,AUSTRALIA,  Draw insights from data that you use to tell compelling stories that help drive data led decisions across Telstra. Extraction Transformation and Loading (ETL).,data analyst,Data Insights &amp; Analytics Analyst,undefined,Melbourne VIC,2022-08-05,4.0,85085-131400
Optimum Patient Care Australia,AUSTRALIA,"Our dynamic and internationally recognised research company Optimum Patient Care, (OPC) is looking for a highly motivated and dynamic member to join our…",data analyst,Junior Data Analyst,,Brisbane QLD 4000,2022-07-17,,
Link Group,AUSTRALIA,"  Complete task allocated by the lead analyst to prevent, early detect and resolve complex data/product related to issues.",data analyst,Business Data Analyst - Graduates Welcome to Apply!,graduate,Melbourne VIC,2022-08-02,2.7,
Minutes To Seconds,AUSTRALIA,  Demonstrated experience working with big data sets from a range of structured and unstructured sources to draw insights and develop visualisations.,data analyst,Data Analyst,full-time,Canberra ACT,2022-08-04,,
MIP,AUSTRALIA,"  The Data School, powered by MIP, is a paid two-year long immersive course which will create the next generation of great data analysts and consultants.",data analyst,Entry level data analyst,contract,Sydney NSW,2022-07-28,,
University of Wollongong,AUSTRALIA,  The Data and Reporting Analyst will act as HR data steward and use that data to provide insight to support data driven decision making.,data analyst,Data and Reporting Analyst,undefined,Wollongong NSW,2022-08-16,4.3,105767-131225
Mercedes-Benz Australia/Pacific Pty Ltd,AUSTRALIA,  Experience in data management and data governance principles. Briefing management on data management initiatives and remediation progress for known data quality…,data analyst,Data &amp; Reporting Analyst,permanent,Melbourne VIC,2022-07-17,4.0,
NSW Government -Department of Education,AUSTRALIA,  Describe a project where you were responsible for integrating or linking data from various systems. You will provide data extracts and analysis to support the…,data analyst,Data/SQL Analyst,,Parramatta NSW,2022-08-12,3.9,
KPMG,AUSTRALIA,  Experience may include one or more of knowledge of architecture and cloud-based data solutions; big data technologies; data warehousing solutions; analytics and…,data analyst,Data Strategy &amp; Business Analyst - Data &amp; Cloud,permanent,Melbourne VIC,2022-08-16,3.9,
Western Downs Regional Council,AUSTRALIA,"  Extract and manipulate data to develop recurring or ad-hoc reports, dashboards and alerts. Operating from within the ICT Department, you will endorse strategic…",data analyst,Data and Reporting Analyst,permanent,Temporarily Remote in Dalby QLD,2022-08-16,3.1,
Schneider Electric,AUSTRALIA,  You will be in regular contact clients and retailers to ensure we receive legible and accurate data. Validate third-party supplier invoices against contract…,data analyst,Data Analyst,full-time,Melbourne VIC,2022-07-17,3.9,
ACT Government,AUSTRALIA,"  The role will support the technical aspects of data extract, transformation, analysis and reporting within the ACT Healthy Waterways team.",data analyst,Data Analyst and Engineer,undefined,Remote in Canberra ACT,2022-07-17,3.2,114928-123710
Fujitsu,AUSTRALIA,"  Desire to build a career in data. Understanding of data models, database design development, data mining and segmentation technique reporting packages (Business…",data analyst,Data Analyst,,Brisbane QLD+2 locations,2022-07-30,3.6,
Capgemini,AUSTRALIA,  Experienced data analyst responsible for conducting assessment of data environment maturity. Conduct data profiling and defining data quality rules to organise…,data analyst,Data Analyst,full-time,Adelaide Region SA+1 location,2022-08-05,3.8,
NSW Government -Health System Support Group,AUSTRALIA,"  It monitors data quality and ensures compliance with data standards and policy, and provides data to the Commonwealth as part of the National Minimum Data Sets …",data analyst,Data Analyst NMDS,undefined,New South Wales,2022-08-11,,100107-118735
Queensland Treasury,AUSTRALIA,  Extract and provide data for reporting purposes and ad hoc requests including providing advice on related data quality issues.,data analyst,Data Analyst,,Brisbane QLD,2022-08-16,4.0,
Disney Streaming,AUSTRALIA,"  Familiarity with data exploration and data visualization tools like Tableau, Looker etc. Be a data ambassador to cross-functional teams, coaching best practice…",data analyst,"Data Analyst, Disney+",,Melbourne VIC,2022-07-17,,
Cognizant,AUSTRALIA,  Create the production data pipeline and ingestion data and verify the data flow. Develop Stream sets code extract the data from source production Oracle and…,data analyst,Data Analyst,full-time,Perth WA,2022-07-17,3.9,
Minutes To Seconds,AUSTRALIA,  Demonstrated experience working with big data sets from a range of structured and unstructured sources to draw insights and develop visualisations.,data analyst,Data Analyst (Remote-Australia),full-time,Remote,2022-07-17,,
Kmart,AUSTRALIA,  Familiarity with enterprise data warehouses and visualisation tools (e.g. PowerBI). Prior experience in a ‘hands-on’ data analytics role.,data analyst,Customer Data Analyst,,Mulgrave VIC,2022-07-17,3.8,
NSW Government -Transport For NSW,AUSTRALIA,  Employment Type: Fixed Term Full-Time. Intelligent Transport Systems (ITS) is a part of the Customer Strategy and Technology division of Transport for NSW.,data analyst,Program Business Analyst,undefined,Remote in Strawberry Hills NSW 2012,2022-08-16,4.0,120423-134872
Origin Energy,AUSTRALIA,"  Design, build and test data transformation jobs, including the modelling of very large data sets. Experience documenting data models, including entity…",data analyst,Data Analyst,permanent,Hybrid remote in Melbourne VIC,2022-08-11,3.8,
Marshall McAdam,AUSTRALIA,  Documentation of data extraction and transformation. Work collaboratively with the Data Modelling and BA teams to develop detailed mapping specifications and…,data analyst,Data Analyst - 12 Month+ Contract,undefined,Remote in Melbourne VIC,2022-08-10,5.0,850-950
Disney Media &amp; Entertainment Distribution,AUSTRALIA,"  Familiarity with key local market data sources &amp; limitations e.g. ABS, Roy Morgan, NZ Stat etc. Ability to synthesise and distil key trends/take-outs out of…",data analyst,Strategy Analyst,,Richmond VIC,2022-07-17,4.1,
Ventia Pty Limited,AUSTRALIA,"  Conduct data collection, data validation, simulation, and analysis to present recommendations to the business unit.",data analyst,Graduate Data Analyst,permanent,East Perth WA 6004,2022-07-17,2.5,
Sportsbet,AUSTRALIA,"  Use data and processes during analysis to clarify and validate requirements. Acting as a liaison for the business, translating their needs for a variety of…",data analyst,Business Analyst - Multiple roles,full-time,Melbourne VIC,2022-08-16,2.8,
Western Down Regional Council,AUSTRALIA,"  Extract and manipulate data to develop recurring or ad-hoc reports, dashboards and alerts. Operating from within the ICT Department, you will endorse strategic…",data analyst,Data and Reporting Analyst,permanent,Temporarily Remote in Dalby QLD,2022-08-16,,
Australian Government Department of Defence,AUSTRALIA,"  Ability to scrutinise information and data from a wide variety of sources to recognise trends and patterns; We do this by identifying, assessing and informing…",data analyst,APS 5 - Intelligence Assessment Analyst,undefined,Campbell ACT,2022-08-11,4.1,76611-82059
Equifax,AUSTRALIA,  Experience with data visualisation and data story telling. The Data analyst will perform in-depth analysis to drive data quality improvements of their allocated…,data analyst,Data Analyst,full-time,North Sydney NSW 2060,2022-08-11,3.5,
EY,AUSTRALIA,"  Exposure to data / data environments / databases / large data sets. A background working as a data or insights analyst, or commensurate academic experience.",data analyst,Expression of Interest - Data Analyst,undefined,Perth WA 6000,2022-07-19,4.0,90000
Flight Centre,AUSTRALIA,"  Enthusiastic for influencing the best digital experiences through data and insights. Fostering collaboration across multiple product, business, and data teams…",data analyst,Data Insights Analyst,full-time,Hybrid remote in Queensland,2022-07-17,3.5,
Eastern Health,AUSTRALIA,  Strong data visualisation skills including the ability to tell the story with the data. You will identify wide-reaching clinical data content for inclusion in…,data analyst,EMR Data Analyst,permanent,Box Hill VIC,2022-08-12,4.2,
Macquarie Group Limited,AUSTRALIA,"  Joining our Tech Select Program puts you in the driver’s seat of your career, giving you the chance to experience new areas of technology, while building on…",data analyst,Data and Business Analyst - Early Career Opportunities,permanent,Sydney NSW,2022-08-04,3.8,
NSW Government -Department of Customer Service,AUSTRALIA,"  Exposure to big data in government. Working with data custodians and other stakeholders to develop materials on the context, limitations and future use case…",data analyst,Data Analyst,undefined,Sydney NSW,2022-08-13,,99431
Acciona,AUSTRALIA,  Comfort in a complex data environment and understanding of data structures. Familiarity with transactional and data warehouse environments.,data analyst,Data Analyst,full-time,Melbourne VIC,2022-08-10,4.0,
Funds SA,AUSTRALIA,  Undertake portfolio analytics of investment data. Support the team on data enhancement projects that deliver key strategic outcomes.,data analyst,"Graduate Analyst, Data and Analytics",graduate,Adelaide CBD SA+1 location,2022-08-06,3.6,
NSW Government -Sydney Trains,AUSTRALIA,  Deriving insights from data to clearly define problem statements. Employment Type: Permanent Full-Time. The Engineering &amp; Maintenance Branch manages a $1.5…,data analyst,Business Analyst,undefined,Granville NSW 2142,2022-08-06,4.0,127559-141442
Mecca Brands Pty Ltd,AUSTRALIA,  Strong experience in data and reporting within a retail environment. Using tools such as Salesforce Marketing Cloud and other relational databases to query and…,data analyst,Data Analyst,full-time,Victoria,2022-07-17,4.1,
Central Australian Aboriginal Congress,AUSTRALIA,  This position is the senior clinical data position at Congress and works in conjunction with the Clinical Systems Coordinator. Six (6) weeks' annual leave.,data analyst,Senior Data Analyst,undefined,Alice Springs NT 0870,2022-08-10,4.8,104949-124059
Macquarie Group Limited,AUSTRALIA,"  Undertaking data extraction, analysis, and investigation into data quality issues. Understanding data sharing obligations and risk of breaches.",data analyst,Data Analytics - Data Analyst - Sydney - PNT06528,permanent,Sydney NSW,2022-07-17,3.8,
Mercer,AUSTRALIA,"  Investment data analysis, implementation and support for the Mercer Pacific data management capability. Contributing to ongoing data management capabilities.",data analyst,Investment Data Analyst,full-time,Melbourne VIC,2022-08-11,,
NSW Government -Transport For NSW,AUSTRALIA,"  It is responsible for providing the smart infrastructure, real-time data and operational systems required to manage the transport network.",data analyst,Test Analyst,undefined,Sydney NSW,2022-08-11,4.0,94879-104367
Museums Victoria,AUSTRALIA,"  The successful applicant will have demonstrated experience in analysing multiple datasets in a similar-sized organisation, presenting analytical work to non…",data analyst,Data and Reporting Analyst,undefined,Melbourne City Centre VIC,2022-08-06,4.0,72751
University Of Technology Sydney,AUSTRALIA,"  Using a cloud data warehouse we build and sustain data which supports analytics and reporting on student, learning and teaching and research data as well as…",data analyst,Data Analyst,undefined,Broadway NSW 2007,2022-07-20,3.9,94656-104713
ASG Group,AUSTRALIA,"  Technical expertise in data analysis to efficiently query data, identify issues, and propose effective solutions. Experience in customer remediation projects.",data analyst,DATA ANALYST,permanent,Sydney NSW,2022-08-11,2.3,
Goldman Sachs,AUSTRALIA,"  Our analysts work on client-focused research in the equity, fixed-income, currency, and commodities markets, mining big data that enters markets around the…",data analyst,"Global Investment Research, Equity Research, Resources, Anal...",full-time,Sydney NSW 2000,2022-07-17,4.0,
Health System Support Group,AUSTRALIA,"  It monitors data quality and ensures compliance with data standards and policy, and provides data to the Commonwealth as part of the National Minimum Data Sets …",data analyst,Data Analyst NMDS,undefined,St Leonards NSW,2022-08-11,,100107-118735
Flight Centre,AUSTRALIA,  You can develop and optimise data models via backend SQL and through Power BI. Using Power BI you will be developing and designing Business Intelligence…,data analyst,Senior BI Analyst,full-time,Hybrid remote in Queensland,2022-07-17,3.5,
DataSauce,AUSTRALIA,  Merge your interpreting data talents and interest in human behaviour and marketing into a role that challenges and excites you.,data analyst,Data Analyst,full-time,Melbourne VIC,2022-07-17,,
Aware Super,AUSTRALIA,  Creating SQL test scripts for data validation and deployment. Minimum 3 years of experience in a data or statistical analysis role;,data analyst,Data Analyst,,Australia,2022-07-17,,
L'Oreal,AUSTRALIA,"  Responsible to plan, design, implement and test data analytics across division functions in a timely manner. Upskilling key stakeholders and juniors throughout…",data analyst,Senior Data Analyst,full-time,Melbourne VIC,2022-07-17,4.1,
FinXL,AUSTRALIA,  Experience Analysing existing data sources including enterprise data warehouse to identify and source existing data. Sydney CBD and Work from home.,data analyst,Data Business Analyst,contract,Remote in Sydney Central Business District NSW,2022-08-13,,
QBE,AUSTRALIA,"  Experience in business requirements gathering, data analysis, data mapping, and/or dimensional data modelling. Strong modelling and data visualisation skills.",data analyst,Data Analyst,permanent,Remote in Sydney NSW,2022-07-30,3.6,
PlaySide Studios,AUSTRALIA,  Support the design team is creating usable data and insights. Deep-dive analysis of user-data from large databases. Develop Analytics processes and tools.,data analyst,Data Analyst,full-time,Melbourne VIC,2022-07-17,,
Finecast,AUSTRALIA,"  Advising the team across data analytics best practice. Work with DSP partners to manage and maintain reporting data feeds. Manage pipeline, ETL/ELT processes.",data analyst,Finecast | Data Analyst,full-time,Melbourne VIC 3000+1 location,2022-07-30,3.8,
Queensland University of Technology,AUSTRALIA,"  Purpose of sourcing data, developing data. In collating data from multiple data sources into. Analytical data that help inform strategic and.",data analyst,Business Data Analyst,undefined,Brisbane QLD,2022-08-09,4.2,90406-98895
Macquarie Group Limited,AUSTRALIA,  Development of PowerBI reports (and the underlying data structure) to meet consumer data requirements. Active engagement with capital data consumers and define…,data analyst,Data Analyst,permanent,Sydney NSW,2022-07-17,3.8,
Kmart,AUSTRALIA,  Proven ability to partner with data engineering and science functions to set out data requirements that enable effective analysis and insight generation.,data analyst,Senior Data Analyst,,Australia,2022-07-19,3.8,
Department of Education and Training,AUSTRALIA,"  Understand complex data integration and data profiling concepts, including the ability to analyse and interpret data structures.",data analyst,Senior Data Analyst (VPSG6),undefined,Melbourne VIC+1 location,2022-08-09,3.8,127467-170579
Toll Group,AUSTRALIA,"Analyse commercial data such as budgets, sales results, and forecasts. Be an advanced user of Access, Excel, and data modelling skills.",data analyst,Data Analyst,permanent,Laverton VIC 3028,2022-08-03,3.6,
Icon Water,AUSTRALIA,"Identify, investigate and support the resolution of exceptions between meter data, billing data, geospatial information and other sources to support timely and…",data analyst,Data Assurance Analyst,undefined,Canberra ACT,2022-08-16,3.3,105680-128849
nib health funds,AUSTRALIA,You will work closely with internal stakeholders to understand their needs around data and champion the use of this data to drive improvement and efficiencies.,data analyst,Data and Insights Analyst,full-time,Remote in Newcastle NSW,2022-08-04,4.2,
Commonwealth Bank,AUSTRALIA,"The Fraud Data Analytics team, part of the Chief Data and Analytics Office, maintains the fraud detection logic for the Group.",data analyst,Fraud Data Analyst,full-time,Perth WA,2022-08-10,4.0,
ORIMA Research,AUSTRALIA,Data processing and data file preparation. How to explain quantitative data in a way that is accessible and. Australian and State / Territory Government clients…,data analyst,Data Analyst,full-time,Canberra ACT,2022-07-17,,
Deloitte,AUSTRALIA,"3-5 years’ experience working with the analysis of data from complex data sets and systems. Experience in data sourcing, cleansing, preparation and management…",data analyst,Senior Analyst | Data &amp; Analytics | Perth,,Perth WA 6000,2022-07-17,3.9,
BYOjet,AUSTRALIA,Developing and manually testing pricing strategies informed by data analysis. Experience in an analytical role and/or data analysis is an advantage.,data analyst,Pricing Analyst,full-time,Temporarily Remote in Queensland+1 location,2022-08-11,3.5,
Bluefin Resources,AUSTRALIA,"This will expose you to all facets of their methods, from ensuring the quality of the data and information that they leverage, through to conducting complex…",data analyst,Junior Data Analyst (Research),undefined,Melbourne VIC,2022-07-22,,60000-85000
John Holland,AUSTRALIA,"Develop, streamline, and gather internal data for dashboards, monthly reports and requests such as presentations. Demonstratable experience in a similar role.",data analyst,HSEQ Data Analyst,,Melbourne VIC 3000,2022-07-26,3.8,
Domain Group,AUSTRALIA,"You love data and will collaborate with the Consumer Marketing team to collect, analyze, interpret, manipulate and visualize data to help us interrogate results…",data analyst,Marketing Analyst,permanent,Remote,2022-08-04,4.3,
Compassion Australia,AUSTRALIA,Substantial experience with data extraction and data integration including skills for ingesting data through appropriate ETL tools.,data analyst,Data Analyst,permanent,Remote in Newcastle NSW,2022-07-27,,
Australia Post,AUSTRALIA,"Providing reviews of all data to assist with the asset management framework that enhances safety, cost, and quality outcomes. Work type: Permanent Full Time.",data analyst,Asset Analyst,permanent,Dandenong VIC,2022-08-16,3.8,
University of Tasmania,AUSTRALIA,An understanding of best practice in data management including the FAIR data principles and management of indigenous data.,data analyst,Research Data Analyst,undefined,Hobart TAS,2022-08-05,4.3,84386-91505
EY,AUSTRALIA,"Present data in graphs, charts, tables, etc. and designing and developing relational databases for collecting data. Skills and attributes for success.",data analyst,Senior GIS/Spatial Analyst | Data &amp; Analytics,full-time,Perth WA 6000,2022-07-17,4.0,
Diona,AUSTRALIA,Identify opportunities to improve data collection processes. Experience developing data models within Power BI. Experience in Project Cost Management.,data analyst,Data Analyst,permanent,Murarrie QLD,2022-07-17,,
Telstra,AUSTRALIA,The Data and Reporting Analyst will be responsible for developing and managing Dashboard Reporting and Data Analytics for the Complex Customer Solutions (CCS)…,data analyst,Data and Reporting Analyst,permanent,Sydney NSW,2022-07-17,4.0,
Telstra,AUSTRALIA,"Experience working with data architects, data engineers, data analysts etc. Working closely with data missions, key stakeholders like data product owners,…",data analyst,Business Analyst,permanent,Remote in Australia,2022-07-22,4.0,
Advance Delivery Consulting (ADC),AUSTRALIA,"To do well in this role you need a very fine eye for detail, experience as a data analyst, and deep understanding of the popular data analysis tools and…",data analyst,Data Analyst – Junior and Mid,undefined,Australia,2022-07-17,,80000-120000
Great Southern Bank,AUSTRALIA,"Partner with data engineers to help map, validate and document data transformation between data layers and perform UAT on the data products.",data analyst,Data Analyst,,Brisbane QLD,2022-08-13,3.5,
AstraZeneca,AUSTRALIA,Timely and accurate delivery of data and services including ad-hoc data requests. Understanding of data warehousing concepts.,data analyst,Technical Business Analyst (Data),full-time,Macquarie Park NSW 2113,2022-07-23,4.1,
KPMG,AUSTRALIA,"Ability to understand and analyse data and manage data through Power BI tool. Having an understanding of data strategy, including data maturity will be…",data analyst,Data Analyst - Adelaide,permanent,Adelaide Region SA+1 location,2022-07-17,3.9,
NSW Government -iCare,AUSTRALIA,Experience with usage of research data analysis packages. Strong experience in compiling and analyzing customer data and communicating to stakeholders.,data analyst,Customer Insights Analyst,undefined,Hybrid remote in Sydney NSW,2022-08-12,3.7,113000
RPS Group,AUSTRALIA,"Notifying stakeholders about any issues or business impacts connected to the data. Continuously evaluating opportunities and risks, providing analysis of data…",data analyst,Business Analyst,permanent,Remote in Darwin NT,2022-07-17,3.2,
Macquarie Group Limited,AUSTRALIA,"Within these roles you will be required to work closely with other team members interacting with a range of stakeholders from Operations, Technology and…",data analyst,Junior Business Analyst,,Sydney NSW,2022-07-17,3.8,
"Tourism, Innovation and Sport",AUSTRALIA,"Well-developed knowledge of data analytic methodologies, advanced modelling techniques and data science capabilities, creating industry-leading performance…",data analyst,Data Analyst,contract,Brisbane QLD,2022-08-16,,
British American Tobacco,AUSTRALIA,The purpose of this role is to assist the team in the reporting and analysis of data to assist in daily operations and provide insights to shape recommendations…,data analyst,Trade Analyst,undefined,Sydney NSW,2022-07-24,4.4,70000-80000
Bendigo Health,AUSTRALIA,Essential : Experience designing and developing bespoke data collections / data collection tools and familiarity with medical terminology and ICD-10-AM coding …,data analyst,Data Analyst - Loddon Mallee Integrated Cancer Services,undefined,Bendigo VIC,2022-08-16,4.1,42.34
Versent,AUSTRALIA,Implementing data strategies and developing physical data models. Working with the development team to create conceptual data models and data flows.,data analyst,Senior Data Analyst,full-time,Brisbane QLD,2022-07-17,,
NSW Government -Transport For NSW,AUSTRALIA,"Manage multiple requests for data recovery from across the transport cluster. The Senior Analyst, Data Recovery is responsible for implementing and maintaining…",data analyst,"Senior Analyst, Data Recovery",undefined,Temporarily Remote in Macquarie Park NSW 2113,2022-08-04,4.0,120423-134872
Infopeople,AUSTRALIA,1+ years’ experience as a data analyst; Experience in data visualisation programs eg. Power BI; Experience in report building and analysing data eg. Excel;,data analyst,Data Analyst,undefined,Remote in Sydney NSW,2022-08-03,,80000-100000
Profusion Group,AUSTRALIA,"  Contribute to new projects in cloud data warehousing, reporting solutions, etc. The business has a number of projects they are looking to start up including the…",data analyst,Data Analyst,undefined,Remote in Sydney NSW 2000,2022-07-17,5.0,160000
GHD,AUSTRALIA,"  Developing and provisioning digital solutions including customized tools, workflow automation, database development, data analytics and web mapping.",data analyst,Expression of Interest - Spatial Analysts,,Hybrid remote in Australia,2022-07-23,3.6,
Service Victoria,AUSTRALIA,  You will also have a chance to work on continuously improving our service offering by bringing in structured improvements based on data analytics and insights…,data analyst,Quality Analyst,full-time,Temporarily Remote in Victoria,2022-08-12,,
EY,AUSTRALIA,  Perform data profiling and data analysis. Prepare concise data reports and data visualizations for stakeholders that will help in decision making processes.,data analyst,Business / Data Analyst - Financial Services,undefined,Sydney NSW 2000+1 location,2022-08-09,4.0,90000
Commonwealth Bank,AUSTRALIA,"  Have a blend of experience across: process mapping, system integration, user stories, data mapping and design thinking. Advertising End Date: 30/08/2022.",data analyst,Business Analyst,part-time,Temporarily Remote in Australia+1 location,2022-07-29,4.0,
Alinta Energy,AUSTRALIA,"  Assisting with the extraction, transformation and loading of related data as requested, including development of reports. And better for our environment.",data analyst,Application Support / Data Analyst,permanent,Hybrid remote in Melbourne VIC,2022-08-10,3.8,
NSW Government -MUL Multicultural NSW,AUSTRALIA,  Provide key support to the Director and Associate Directors in reporting and managing the data analytics tasks relevant to various projects.,data analyst,Data Analyst,full-time,Hybrid remote in Sydney NSW+1 location,2022-08-13,,
Telstra,AUSTRALIA,  Ability to derive actionable insights from detailed data sets. Our Consumer &amp; Small Business (C&amp;SB) team design digitally led propositions for customers and…,data analyst,Insights Analyst,permanent,Temporarily Remote in Australia,2022-08-05,4.0,
ANZ Banking Group,AUSTRALIA,"  We support the financial, risk and workforce management of the area through providing process management and data analysis across a variety of operational…",data analyst,Analyst,permanent,Melbourne VIC,2022-08-12,4.1,
Wing,AUSTRALIA,  Input collected geospatial data into Wing's geospatial data management system. 3+ years of experience working directly with geospatial data.,data analyst,Geospatial Data Analyst,,Remote in Brisbane QLD,2022-07-17,,
NSW Government -Strategy Policy and Commissioning,AUSTRALIA,"  Insights, Analysis and Research supports rigorous research, evaluation, data analysis and reporting across DCJ. What we’re looking for.",data analyst,Assistant Economic Analyst,undefined,Remote in Sydney NSW,2022-08-10,,87493-96540
DHL,AUSTRALIA,  Numerical analysis of raw data into accurate reports. Detailed data analysis on SKU behaviour to optimise productivity. In this job you will:,data analyst,Multi Locations | Logistics Analyst,contract,New South Wales,2022-07-17,3.7,
DHL,AUSTRALIA,  Numerical analysis of raw data into accurate reports. Detailed data analysis on SKU behaviour to optimise productivity. In this job you will:,data analyst,Horsley Park | Logistics Analyst,contract,New South Wales+3 locations,2022-08-16,3.7,
Talent International,AUSTRALIA,"  Improve asset data requirements, data collection methodologies. Maintaining data analytics and leading the development of processes. What’s in it for you.",data analyst,Data Analyst,contract,Melbourne VIC,2022-08-16,4.4,
Latitude Financial Services,AUSTRALIA,"  Ensure process efficiencies, data analytics and risk cultural awareness are considered in performing Internal Audit. We're Latitude, partners in money.",data analyst,Internal Auditor / Data Analyst,full-time,Remote in Docklands VIC,2022-08-13,,
Bupa,AUSTRALIA,  Experience working as an insights or business analyst in improvement programs desirable. Support members of APAD and key stakeholders to proactively use data…,data analyst,Junior Commercial Insights Analyst,permanent,Remote in Victoria,2022-08-04,3.3,
Sarah Group Holdings,AUSTRALIA,"  Acquiring data from primary and secondary sources and maintain data systems. The right candidate will be outcome and solutions focused, working within existing…",data analyst,DATA ANALYST,,Eastwood SA,2022-08-03,,
"JPMorgan Chase Bank, N.A.",AUSTRALIA,"  Your days will be filled analysing data and building models to assist clients from across the sector. Using an array of advanced tools, models and data our…",data analyst,CIB - Equity Research - Mining - Analyst,full-time,Melbourne VIC,2022-08-07,3.8,
Labourpower Recruitment Services,AUSTRALIA,  Acquiring data from primary and secondary sources and maintain data systems. High level accuracy with data entry. Advanced to expert level excel knowledge.,data analyst,Data Analyst,undefined,Melbourne VIC,2022-07-19,3.0,70000-75000
NSW Government -Customer Strategy &amp; Technology,AUSTRALIA,"  It is responsible for providing the smart infrastructure, real-time data and operational systems required to manage the transport network.",data analyst,Test Analyst,undefined,Sydney NSW,2022-08-11,,94879-104367
The Brattle Group,AUSTRALIA,"  Diving into data, using statistical analyses to extract information from messy data. They work seamlessly in teams, have exceptional analytical skills …",data analyst,Sydney Research Analyst Graduate Program '23,undefined,Sydney NSW+1 location,2022-07-17,,82008
