company_name,country,job_description,job_field,job_title,job_type,non_remote_location,post_date,rating,salary
Loblaw Companies Limited,Canada,"  Retail analytics experience with a marketing focus on using customer data such as Direct Marketing, Database Marketing, Loyalty Marketing is preferred.",jobs?q=data%20analyst&l=Canada,Data Science Analyst,full-time,"Brampton, ON",2022-08-16,3.4,
PBS Systems,Canada,  Acquiring data from primary or secondary data sources and maintaining databases. Ability to analyze a company’s big-picture data needs.,jobs?q=data%20analyst&l=Canada,Data Analyst,full-time,"Calgary, AB",2022-08-16,2.5,
O2E Brands,Canada,"  Passion for data and visualization. As part of the Business Intelligence department, you will support our business units with their data needs and collaborate…",jobs?q=data%20analyst&l=Canada,Junior Data Analyst,full-time,"Remote in Vancouver, BC",2022-07-17,4.1,
CGI Inc,Canada,"  Analytical curiosity, strong data-oriented skills and a statistical programming background. Help create the platform, tools and APIs necessary to enable other…",jobs?q=data%20analyst&l=Canada,Data Analyst,full-time,"Calgary, AB",2022-08-09,3.6,
Ontario Pension Board,Canada,"  Resolve any data clean up identified by the automated processes for leaves, immediate pensions and pre-retirement termination cases.",jobs?q=data%20analyst&l=Canada,Employer Data Analyst,full-time,"Hybrid remote in Toronto, ON",2022-08-09,4.8,
The City of Vancouver,Canada,"  Contribute to the development of research and data governance models that ensure data can be used with integrity, safety and respect for the people and groups…",jobs?q=data%20analyst&l=Canada,Social Planning Analyst,undefined,"Remote in Vancouver, BC",2022-08-13,3.7,38.68-45.68
Moneris Solutions,Canada,"  Under direction, conduct data science analysis and reporting to analytics teams. Use robust statistical techniques to improve marketing, product development, or…",jobs?q=data%20analyst&l=Canada,"Analyst I, Data Science",full-time,"Toronto, ON",2022-07-17,3.4,
Public Health Sudbury &amp; Districts,Canada,"  Provides training in data analysis and data analysis tools, as appropriate. Develops data entry templates and assists staff with utilizing data entry templates.",jobs?q=data%20analyst&l=Canada,Data Analyst #22-198 (Job opportunity),undefined,"Remote in Greater Sudbury, ON",2022-08-06,3.8,39.14-46.02
Loblaw Companies Limited,Canada,  This position implements processes and governance to ensure data integrity and data standards. Partner in troubleshooting and resolving master data…,jobs?q=data%20analyst&l=Canada,"Analyst, Master Data",temporary,"Brampton, ON",2022-08-16,3.4,
City of Toronto,Canada,"  Well-developed analytical skills including a good understanding of data for equity and data for action principles, and effective statistical review concepts in…",jobs?q=data%20analyst&l=Canada,PLANNING ANALYST,undefined,"Toronto, ON",2022-08-16,4.2,96569-113441
Peel Children’s Aid Society,Canada,  Contributes to the research reviews and evaluation activities of the agency including the design and implementation of research projects.,jobs?q=data%20analyst&l=Canada,"PCAS22-092 - Analyst, Data Intelligence (Regular Complement)",undefined,"Mississauga, ON",2022-08-09,4.1,68930-88792
Viafoura Inc.,Canada,"  Formulate and lead guided, multifaceted analytic studies against large volumes of data. Identify data gaps and present solutions through collaboration with…",jobs?q=data%20analyst&l=Canada,Data Analyst [Remote],full-time,"Remote in Toronto, ON",2022-08-06,5.0,
J.D. Power,Canada,  A passion for using data visualization to tell complex data stories. Collaborate with data engineering team to ensure efficient data pipelines for Tableau…,jobs?q=data%20analyst&l=Canada,Tableau Data Analyst,,"Remote in London, ON",2022-08-04,,
Scotiabank,Canada,"  The incumbent will have a minimum of 2 to 3 years of strong expertise querying data from ledgers, data models, database design and an understanding of the Bank…",jobs?q=data%20analyst&l=Canada,Data Analyst,,"Toronto, ON",2022-08-09,3.9,
TELUS,Canada,"  Extracting data from various source systems and data stores by performing light business coding (ex. Java, Python, C#, etc.). 2+ years of working with SQL/TSQL.",jobs?q=data%20analyst&l=Canada,Data Analyst- Collaborative Health,full-time,"Halifax, NS",2022-08-04,3.9,
Compassion Canada,Canada,"Experience in similar data analyst roles in other organizations. Education in data management, data science or like discipline is a strong asset.",data analyst,Data Analyst,full-time,"Remote in London, ON",2022-07-29,4.7,
Bell Canada,Canada,Experience with data visualization software such as PowerBI. Code: create code to join various systems to translate raw data into meaningful stories.,data analyst,"Data Analyst, Business Intelligence",full-time,"Toronto, ON",2022-08-16,3.7,
Canadian Tire Corporation,Canada,"Perform data quality scans on various related data sets. Working in collaboration with the business, the Data analyst will be primary point of contact with data…",data analyst,Data Analyst,full-time,"Toronto, ON",2022-08-09,3.6,
City of Toronto,Canada,Conducts research on topics related to housing and homelessness services including the collection and analysis of information from sources such as divisional…,data analyst,RESEARCH ANALYST 1,part-time,"Toronto, ON",2022-08-04,4.2,
Viafoura,Canada,"Formulate and lead guided, multifaceted analytic studies against large volumes of data. Identify data gaps and present solutions through collaboration with…",data analyst,Data Analyst,full-time,"Toronto, ON",2022-08-06,,
Office of the Chief Electoral Officer,Canada,"Support corporate initiatives related to data governance, data literacy, and digital transformation. Knowledge of data analysis techniques.",data analyst,Electoral Data Officer / Data Science Analyst,undefined,"Gatineau, QC",2022-08-05,,62168-71275
Rogers Communications,Canada,"Analyze customer-based data, financial data to determine opportunities and gaps for subscriber growth activity, customer retention and acquisition strategies.",data analyst,Senior Data Analyst,full-time,"Toronto, ON",2022-08-16,3.7,
SYNITI,Canada,"Within 1-2 years, analysts are expected to be fully capable of owning and delivering all aspects of end to end (complex?) data migration process.",data analyst,Data Analyst,full-time,"Moncton, NB",2022-07-17,,
Royal Bank of Canada,Canada,Good knowledge of securities and data management industry. Establish communication networks with all business units for the receipt of set up data.,data analyst,Data Analyst,full-time,"Toronto, ON",2022-08-12,4.0,
LifeWorks,Canada,"Experience communicating data driven insights. Possess strong skills in understanding, manipulating, and analyzing data, and who can facilitate data driven…",data analyst,Analyst Data,full-time,"Toronto, ON",2022-08-13,3.1,
Government of New Brunswick,Canada,The Data Analyst will have the opportunity to support the data validation activities required to ensure data accuracy and integrity of drug data.,data analyst,Data Analyst (student),undefined,"Remote in Fredericton, NB",2022-07-17,4.6,15
Ontario Health,Canada,"Strong skillset in data analytics, evidence-based decision making, and storytelling through data visualizations. Laboratory-related experience is an asset.",data analyst,"Analyst, Reporting",full-time,"Toronto, ON",2022-08-13,4.4,
"Ministry of Northern Development, Mines, Natural...",Canada,"You have analytical and evaluative skills to research, interpret and assess data management and information requirements, to design products and procedures and…",data analyst,DATA INTEGRATION ANALYST,undefined,"Peterborough, ON",2022-08-06,,1296-1632
Dynatrace,Canada,You love data and finding patterns in data. Create and manage web and mobile measurements scripts. Analyze performance and availability data (both synthetic and…,data analyst,Data Support Analyst (Must Reside in Canada),full-time,"Remote in Cambridge, ON",2022-07-27,,
Ministry of Health,Canada,"Perform data analysis and research to support resolution of system and payment incidents, complex health care provider inquiries and business solution…",data analyst,BUSINESS ANALYST,undefined,"Kingston, ON",2022-08-12,3.9,1164-1430
"IAA, Inc.",Canada,  Tender data analysis / evaluations for margins and pricing purposes. Several years (3+ years) experience gained in an analyst role or financial environment.,data analyst,Data Analyst,full-time,"Mississauga, ON",2022-07-17,,
FedEx Supply Chain,Canada,  Audit and maintain integrity of data for revenue purposes. Manage data gathering for customers’ benchmark key performance metrics.,data analyst,Data Analyst,full-time,"Coteau-du-Lac, QC",2022-08-16,3.3,
Mircom Technologies,Canada,"  Perform system inquiries, data mining and product analysis. Mircom is looking to hire a motivated and detail-oriented Data Analyst with experience in business…",data analyst,Data Analyst (3-6 Month contract),full-time,"Vaughan, ON",2022-08-05,2.4,
Spring Financial Inc.,Canada,"  3+ years experience in applying analytics, data engineering or data science. Extract, prepare, clean and process large amounts of data to support various data…",data analyst,Data Analyst,,"Vancouver, BC",2022-08-14,4.7,
Square,Canada,  Experience dealing with sensitive and confidential data. Make recommendations to improve existing data-collection methodologies.,data analyst,"Talent Data Analyst, Square",full-time,"Victoria, BC+2 locations",2022-08-11,3.7,
Alteo,Canada,  Analysis of historical customer data. Analytical skills and ability to handle large volumes of data. You will work on data mining to understand the customer…,data analyst,Data Analyst [#4107],,"Remote in Montréal, QC",2022-07-28,,
City of Toronto,Canada,"  Conducts research into assigned areas ensuring that such research takes into account developments within the field, corporate policies and practices,…",data analyst,BUSINESS ANALYST CITY PLANNING,undefined,"Toronto, ON",2022-08-16,4.2,83229-97770
Paul Gupta &amp; Associates,Canada,"  Research and document data requirements, data collection and administration policy, and data access rules. Operate database management systems to analyze data.",data analyst,data analyst - informatics and systems,undefined,"Oakville, ON",2022-08-12,,42
Transportation and Logistics Divisional Services,Canada,"  Responsible for full data analysis projects, including extracting data from various sources including SQL databases, preparing the data (data cleaning and the…",data analyst,Data Analyst,,"Saint John, NB",2022-07-17,2.7,
FedEx Freight Canada,Canada,"  Strong data analysis, critical thinking, and research skills. Prior experience working as a sales or business development analyst.",data analyst,Business Development Analyst,,"Mississauga, ON",2022-08-13,3.7,
University of Alberta,Canada,"  Assist in the data analysis using excel, data query languages (sql, DAX, etc.). Use Google Script, API data, process automation to expedite data reporting and…",data analyst,Data Analyst,undefined,"Hybrid remote in Edmonton, AB",2022-07-30,4.3,62877-87627
Steele Auto Group,Canada,"  Understanding and exposure to data warehousing and data lake concepts. Demonstrated data wrangling experience (i.e., data profiling and analysis).",data analyst,Data Analyst,full-time,"Dartmouth, NS",2022-08-12,3.2,
Kwantlen Polytechnic University,Canada,  Recent related experience in health research and evidence of strong methodological skills in study design and data analysis.,data analyst,"Data Analyst, Health Research",part-time,"Richmond, BC",2022-08-04,4.1,
Royal Bank of Canada,Canada,  Hands on experience and passion for data analytics using SQL and MS Office Suite (E.g. Excel). The Capital Markets Client Technology team is responsible for the…,data analyst,Business Analyst,full-time,"Toronto, ON",2022-07-17,4.0,
Capgemini,Canada,"  Develop functional specifications in the form of User Stories, process flows, use cases, data mappings leveraging tools such as JIRA, Confluence, Rally, etc.,.",data analyst,Guidewire Business Analyst,full-time,"Mississauga, ON",2022-08-06,3.8,
