company_name,country,job_description,job_field,job_title,job_type,non_remote_location,post_date,rating,salary
Vita Health Group,United Kingdom,  Interested in data and systems. Work closely with other data analysts within the company and with the service team to ensure operational efficiencies and…,data analyst,Data Analyst - Croydon MSK,undefined,Remote,2022-08-11,3.9,22000-25000
University of Leeds,United Kingdom,  Are you experienced in drawing insight from data and passionate about using data visualisation to support evidence-based decision making?,data analyst,Data Analyst,undefined,Leeds,2022-08-10,4.3,27924-33309
University Hospitals Birmingham,United Kingdom,"  Extracting, transforming and analysing data from disparate data sources, wrangling large complex data sets and creating appropriate data models.",data analyst,Band 5 - Data Analyst,undefined,Birmingham B15,2022-08-12,3.5,25655-31534
Footasylum,United Kingdom,  You will have an interest in building a career around analytics and using data to make commercially driven decisions.,data analyst,Junior Data Analyst,,Hybrid remote in Rochdale OL11,2022-08-04,3.2,
Optivo,United Kingdom,  Produce reports on this data. Assist in maintaining Optivo's central property asset register with data collected.,data analyst,Trainee Property Data Analyst,undefined,Croydon,2022-08-09,3.2,29500
Hydrock,United Kingdom,  Analysing and consolidating data from different systems to create reports for the SMT. Update and maintain Power BI to show up to date monthly and annual data.,data analyst,Finance Data Analyst,full-time,Bristol BS32,2022-08-16,4.2,
Warwickshire Police,United Kingdom,  To develop an understanding of key information and data flows across key Warwickshire Police information systems and to deploy data management solutions to…,data analyst,Records and Data Analyst,undefined,Remote in Leek Wootton,2022-08-04,3.9,27432-32394
HM Revenue and Customs,United Kingdom,  HMRC Customer Insights Platform (CIP) team already provide a range of data analysis tools which enable our Customers to make sense of the audit event data we…,data analyst,Data Analyst,undefined,London,2022-08-04,3.6,34404-42057
Cromwell Group,United Kingdom,  Cromwell tools are looking for a Graduate Data Analyst to join their growing team. Reviewing and analysing significant amounts of data to perform gap analysis;…,data analyst,Graduate Data Analyst,graduate,Leicester,2022-07-27,2.1,
Integrated Human Factors,United Kingdom,  Select and implement analytical methods to evaluate data against ground truth in Python. A solid understanding of analytical data techniques including machine…,data analyst,Data Analyst,undefined,Remote in Edinburgh EH13,2022-08-09,,45000
"JPMorgan Chase Bank, N.A.",United Kingdom,  Help the LOB stakeholders innovate through data-driven decisioning by querying data and merging information from diverse data sources to create rich datasets…,data analyst,Data Analyst / Data Scientist - Chase,permanent,London,2022-08-14,3.8,
South Tyneside and Sunderland NHS Foundation Trust,United Kingdom,"  We are looking for someone who has experience of data extraction, analysis and visualisation techniques, with strong customer service and communication skills.",data analyst,Data Analyst,undefined,Sunderland,2022-08-10,3.5,25655-31534
NTT Data UK,United Kingdom,"Data Analyst At NTT DATA are exceptional together and we believe in growing by helping others grow, clients and employees. We are constantly evolving, by…",data analyst,Data Analyst,,London,2022-08-14,3.4,
RSA,United Kingdom,"  Intermediate Excel skills to conduct data analysis using a range of Formulas, V-Look Up and Pivots. This role involves analysing a broad range of complex data…",data analyst,Junior Data Analyst,permanent,Hybrid remote in Chelmsford,2022-07-21,3.8,
