company_name,country,job_description,job_field,job_title,job_type,non_remote_location,post_date,rating,salary
Textron Aviation,USA,  Performs data analysis via various data-mining and statistical techniques to gain insights from data to support business objectives. 12-paid holidays a year.,data analyst,2023 Entry Level - Data Analyst,full-time,"Wichita, KS+1 location",2022-08-16,4.0,
Carle Health,USA,  Help manage provider data to maintain and improve data. Coordinate corrective activities to clean data. Report and extract data for various reports and analyses…,data analyst,Provider Data Analyst,full-time,Remote,2022-08-16,3.9,
United States Steel,USA,"  Exposure/ Experience with data scripting languages (e.g., SQL). Utilize Visualization tools like Power BI, Tableau or Excel to present data to users.",data analyst,"Jr Data Analyst, BRS",,"Osceola, AR",2022-08-16,3.4,
Impinj,USA,  2 ~ 4 years in BI/data analyst role. Query and aggregate data from a variety of environments to conduct in-depth data analysis.,data analyst,Data Analyst,full-time,"Seattle, WA 98103 (Green Lake - Wallingford area)",2022-08-16,3.3,
pulseData,USA,  You'll be cleaning and scrubbing medical record data and claims data to ensure it can be used in our data pipelines. Bonus points for any experience in Spark.,data analyst,Data Analyst (Remote),undefined,"Remote in New York, NY",2022-07-17,,60000-80000
"A-TEK, Inc.",USA,"  The Data Analyst’s duties include collaborating with other team members to extract data figures, creating reports based on their findings, and creating data…",data analyst,Data Analyst,full-time,"Bethesda, MD",2022-08-16,3.7,
"North Canyon Medical Center, Inc.",USA,"  The analyst will design and produce high-quality analytic products for the appropriate audience, understand how to visualize the data in a way that communicates…",data analyst,Data Analyst| Full Time,full-time,"Gooding, ID 83330",2022-08-16,4.0,
University of Kentucky,USA,  Infrastructure to support the data needs of Philanthropy and Alumni Engagement staff. Position Time Status Full-Time.,data analyst,STEPS Data Analyst,undefined,"Lexington, KY+1 location",2022-08-11,4.1,25
Hulu,USA,"  Familiarity with data exploration and data visualization tools like Tableau, Looker, Chartio, etc. Build intuitive interfaces, infographics, and visualizations…",data analyst,Data Analyst,full-time,"Santa Monica, CA",2022-07-17,3.8,
Cisco Systems,USA,  Assess the efficiency and accuracy of new data sources and data gathering techniques. Define data privacy and protection processes required and implement…,data analyst,Data Analyst (Full Time) United States,full-time,"San Jose, CA+3 locations",2022-08-09,4.1,
Amex,USA,"  Leveraging Data Quality Detectors, identify and drive improvements to CDE data quality. Identify and prioritize improvements to your platform to appropriately…",data analyst,Analyst-Data Science,,"Phoenix, AZ+1 location",2022-08-16,4.1,
UNICOI COUNTY BOARD OF EDUCATION,USA,  Responsible for data entry and verification for the Tennessee Education Information System. Approved applicants must hold proper credentials.,data analyst,EIS Data Analyst,part-time,"Erwin, TN",2022-08-16,,
Bangura Solutions,USA,  Strong experience with data analysis programming languages. To analyse web analytics to a high standard across departments as well as other relevant data.,data analyst,DATA PERFORMANCE ANALYST,contract,"Hybrid remote in North, SC",2022-08-02,,
FNIC,USA,  Proficient with data querying (SQL preferred). Help define business processes that support data integrity and reporting for optimum efficiency.,data analyst,Data Analyst,full-time,Remote,2022-08-09,,
Telnet Inc,USA,"  It is required that patients are seen and documented daily during the first 5 days and every weekday, thereafter. Bill Rate : USD 250.00 Per Hour.",data analyst,Data Analyst,undefined,Tennessee+3 locations,2022-08-16,3.5,250
DTE Energy,USA,  Owns data cleansing and accuracy for various data elements used publicly. To ensure effective and efficient use of data throughout the enterprise.,data analyst,Associate Data Analyst,,"Detroit, MI+1 location",2022-08-13,3.9,
IKEA,USA,  Conduct advanced data exploration and analysis using modern data mining techniques and visualization tools to provide insights that help co-workers and…,data analyst,Data Analyst,undefined,"Plymouth Meeting, PA 19462",2022-08-11,3.8,73036-105902
Ann &amp; Robert H. Lurie Children’s Hospital of...,USA,"  Continuously ensures data quality and integrity by monitoring and validating study data as it is collected, and by maintaining reliable systems for data…",data analyst,Data Analyst,,"Chicago, IL 60611 (Streeterville area)",2022-08-16,3.8,
Valence,USA,  Experience with Excel and previous data entry work. Excellent attention to detail and high technical aptitude.,data analyst,Data Analyst - Contract,contract,"Remote in Bellevue, WA 98004",2022-07-17,4.3,
New Apprenticeship,USA,"  Identify ways to improve data reliability, efficiency, and quality. Prior work experience with data visualization, business analytics, business consulting …",data analyst,Data Analyst + Apprentice (Entry-Level),undefined,"Indianapolis, IN 46282 (Downtown area)+5 locations",2022-08-16,4.6,35000-40000
Equitable,USA,  Interpret results to ensure accuracy and provide analysis of data inconsistencies with recommendations for resolution. Life Insurance Business and Data Analyst.,data analyst,Life Insurance Business and Data Analyst,full-time,"Remote in Charlotte, NC",2022-08-16,3.3,
Smith &amp; Associates,USA,"  Manipulate and analyze complex, high-volume, high-dimensional data from various sources using different tools and data analysis techniques.",data analyst,Data Analyst,full-time,"Houston, TX 77042 (Westchase area)",2022-08-16,2.7,
California State University,USA,"  Evaluate, interpret and define the data requirements and data management systems. The incumbent must have experience in survey development and compilation;…",data analyst,517531 - Data Analyst,undefined,"Fullerton, CA+3 locations",2022-08-12,4.3,4693-5642
Global Payments,USA,  Manage fraud data reporting to merchants. Update and refresh all monthly internal data sources. Download data and update the daily Aging databases.,data analyst,Junior Business Data Analyst,full-time,"Hybrid remote in Jeffersonville, IN",2022-08-16,3.4,
Gwinnett County Public Schools,USA,  Job Code: Systems Analyst - 020108 Standard Hours: 40 Department: Office of Data Governance - 282667 Empl Class: NA.,data analyst,Systems Analyst - Student Data Management,undefined,"Gwinnett County, GA",2022-07-26,3.9,63784
WSP,USA,"  Strong system analysis skills – data interpretation and explanation of condition, trends etc. 1-3 years of related experience.",data analyst,Jr. Data Analyst,,"Hybrid remote in Green Bay, WI",2022-08-02,3.8,
