company_name,country,job_description,job_field,job_title,job_type,non_remote_location,post_date,rating,salary
UGL Limited,AUSTRALIA,"  Graduates receive structured, on-the-job training, guided learning plans and leadership mentoring. Innovate and propose creative solutions.",data science,Data Science Graduate/Undergraduate - Immed Start!,graduate,North Shore NSW,2022-07-27,3.6,
Suncorp Group,AUSTRALIA,"  We believe in the execution of strong risk management practices, effective data maturity, system governance and a relentless focus on execution and business…",data science,Suncorp 2023 Data Science Graduate Program,permanent,Brisbane QLD,2022-08-16,3.5,
University of Wollongong,AUSTRALIA,  This position will have responsibility for the development and coordination of biostatistics and data science subjects for public health programs.,data science,"Lecturer, Statistics and Data Science",undefined,Wollongong NSW,2022-08-12,4.3,107177-123775
Sydney Water,AUSTRALIA,"  Strong expertise and experience with data structures, data modelling and ETL process. Enhancing the data collection process.",data science,Junior Data Scientist,undefined,Hybrid remote in Parramatta NSW,2022-08-12,3.8,103308
Resources,AUSTRALIA,"  Develop improvements to our data ecosystem to enable data science, analytics and data-driven decision-making. Awareness of data governance principles and tools.",data science,Graduate Data Engineer,graduate,Brisbane QLD,2022-08-16,,
Nissan,AUSTRALIA,"  Proven experience in data wrangling, data cleansing, data mining. Present information using data visualization techniques.",data science,Data Scientist,full-time,Paddington NSW,2022-07-27,3.8,
Insurance Australia Group,AUSTRALIA,  Minimum 5+ years’ experience in customer analytics or data science. Provide deep expertise in customer analytics and data science to drive actionable outcomes.,data science,Data Scientist,permanent,Sydney NSW 2000,2022-08-13,3.7,
Western Sydney University,AUSTRALIA,"  Part Time, Fixed Term (0.8 FTE) Until 23 July 2023. Part Time, Fixed Term (0.8 FTE) Until 23 July 2023. The School of Social Sciences is seeking a motivated…",data science,"Machine Learning Engineer, School of Computer, Data and Math...",undefined,Parramatta NSW,2022-08-16,4.2,98637-109498
Western Downs Regional Council,AUSTRALIA,"  Extract and manipulate data to develop recurring or ad-hoc reports, dashboards and alerts. The successful applicant will possess strong analytical and critical…",data science,Data and Reporting Analyst,permanent,Temporarily Remote in Dalby QLD,2022-08-16,3.1,
Link Group,AUSTRALIA,"  Assist, participate &amp; investigate data related insurance enquiries. Past experience and confidence in using data analytical tools.",data science,Business Data Analyst - Graduates Welcome to Apply!,graduate,Melbourne VIC,2022-08-02,2.7,
University of New South Wales,AUSTRALIA,  Strong knowledge of manifold learning or topological data analysis. Experience with analysis of high dimensional multivariate multiscale data sets.,data science,Research Associate - Data Science,undefined,Sydney NSW,2022-08-05,4.2,98000-107000
Transurban,AUSTRALIA,  The Data Enablement team are accountable for shaping and growing effective data usage across Transurban. From the technology that keeps drivers safe on our…,data science,Data Enablement Graduate,permanent,Docklands VIC,2022-08-16,3.9,
Western Down Regional Council,AUSTRALIA,"  Extract and manipulate data to develop recurring or ad-hoc reports, dashboards and alerts. The successful applicant will possess strong analytical and critical…",data science,Data and Reporting Analyst,permanent,Temporarily Remote in Dalby QLD,2022-08-16,,
Resources,AUSTRALIA,"  Lead data analysis, data design and modelling, metadata management, data migration, and other data and database related activities.",data science,Data Scientist,,Brisbane QLD,2022-08-08,,
Murdoch Childrens Research Institute,AUSTRALIA,  Experience in performing data manipulation and analysis using programming languages such as R or Python. Part-time and full-time hours available (22.6 +).,data science,Research Assistant/Officer (Data Science Biostatistics),undefined,Parkville VIC,2022-08-11,4.6,101035-118442
Ausgrid,AUSTRALIA,"  Integrating modern and advanced data science techniques to strategically manage asset information. Driving innovation, support strategic decision making and…",jobs?q=data+science&l=Australia&start=10,Data Architect | Wallsend or Sydney Location,part-time,Australia,2022-08-15,3.7,
Alfred Health,AUSTRALIA,"  Basic computer skills and ability to accurately record data, with the capability and willingness to learn new packages as appropriate.",jobs?q=data+science&l=Australia&start=10,Graduate Research Laboratory Scientist,graduate,Melbourne VIC,2022-08-10,3.8,
Mercedes-Benz Australia/Pacific Pty Ltd,AUSTRALIA,  Experience in data management and data governance principles. Briefing management on data management initiatives and remediation progress for known data quality…,jobs?q=data+science&l=Australia&start=10,Data &amp; Reporting Analyst,permanent,Melbourne VIC,2022-07-17,4.0,
Australian Prudential Regulation Authority (APRA),AUSTRALIA,  Enhancing APRA’s data science capabilities and facilitating exploration of data and business problems. Contributing to building a community of practice within…,jobs?q=data+science&l=Australia&start=10,Data Scientist,,Sydney NSW,2022-08-04,4.5,
Ampol,AUSTRALIA,"  You may also have studied a different degree, with experience or study in technology led process improvement. Competitive Salary and performance bonus.",jobs?q=data+science&l=Australia&start=10,IT Graduate Program,permanent,Alexandria NSW,2022-07-26,3.1,
QBE,AUSTRALIA,"  Leading analytical conversation with business centred on “The art of the possible using data science”, exploring data from a modelling perspective, and…",jobs?q=data+science&l=Australia&start=10,Data Scientist,permanent,Temporarily Remote in Sydney NSW,2022-08-10,3.6,
Catch,AUSTRALIA,"  Selecting appropriate data sets and designing, and developing data pipelines. Working closely with the business to understand which business problems can be…",jobs?q=data+science&l=Australia&start=10,Data Scientist (Optimization Focused),permanent,Melbourne VIC,2022-08-04,4.0,
AMP Limited,AUSTRALIA,"  Bachelors degree/tertiary qualifications in software engineering, data engineering, or data science degree, with a distinction average.",jobs?q=data+science&l=Australia&start=10,Junior Data Engineer,full-time,Sydney NSW,2022-07-17,3.8,
Deloitte,AUSTRALIA,"  Receive unparalleled professional development through our year-round graduate training program. By joining us, you’ll be trained on a variety of methods and…",jobs?q=data+science&l=Australia&start=10,Consulting - Data &amp; AI - 2022/23 Graduate Program (Brisbane),graduate,Brisbane QLD 4000+3 locations,2022-07-17,3.9,
Sedgman Limited,AUSTRALIA,"  Graduates receive structured, on-the-job training, guided learning plans and leadership mentoring. Our specialised technical expertise, proven track record in…",jobs?q=data+science&l=Australia&start=10,Graduate Data Scientist,graduate,Perth WA,2022-08-12,3.8,
Culture Amp,AUSTRALIA,"  Ensure our data platform is robust, reliable, cost-effective, and protects the privacy and security of our users’ data.",jobs?q=data+science&l=Australia&start=10,Junior Data Platform Engineer,,Remote in Melbourne VIC,2022-08-09,,
University Of Western Australia,AUSTRALIA,  As a Senior Research Fellow you will use your skills and experience in advanced data science technologies to contribute to the DIA program of the ICRAR.,jobs?q=data+science&l=Australia&start=10,Senior Research Fellow - Data Science,undefined,Crawley WA,2022-07-26,3.9,128152-147413
KPMG,AUSTRALIA,  Our RA3D team work closely with other service lines within KPMG’s Risk Assurance division to support the delivery of complex and data driven solutions to help…,jobs?q=data+science&l=Australia&start=10,Data &amp; Analytics RA3D - Expression of interest,permanent,Sydney NSW,2022-07-17,3.9,
Australian Government Therapeutic Goods...,AUSTRALIA,"  Temporary full-time, part-time or casual positions. The Therapeutic Goods Administration (TGA) is Australia's regulatory authority for therapeutic goods.",jobs?q=data+science&l=Australia&start=10,Department of Health,part-time,Australia,2022-07-17,,
PLAYGROUND XYZ,AUSTRALIA,"  Post-graduate qualifications in data science or similar (statistics, computer science). You have 5+ years experience in a data science development role.",jobs?q=data+science&l=Australia&start=10,Data Scientist (x2),,Remote in Sydney NSW,2022-07-17,,
Telstra,AUSTRALIA,"  Mine, analyse and model data from complex data sets using advanced data science techniques to help generate insights and recommendations that add value to…",jobs?q=data+science&l=Australia&start=20,Data Science Senior Specialist,permanent,Melbourne VIC,2022-07-26,4.0,
University of Melbourne,AUSTRALIA,"  Experience conducting advanced statistical analyses on agronomic data. They will collect, collate, curate and analyse data from new and existing sources and…",jobs?q=data+science&l=Australia&start=20,CR Roper Fellow in Agricultural Science (Agronomy),undefined,Parkville VIC,2022-08-11,4.3,77171-104717
Deloitte,AUSTRALIA,"  Explore and identify patterns in data to underpin decisions and outcomes for clients. Get exposure to tracing data breaches, intellectual property theft, misuse…",jobs?q=data+science&l=Australia&start=20,Forensic Technology - 2023 Graduate Program (Sydney),graduate,Sydney NSW 2000+3 locations,2022-07-19,3.9,
Australian Bureau of Meteorology,AUSTRALIA,  The Research Program of the Bureau of Meteorology is seeking an advanced software engineer with some computational science and / or data science and data…,jobs?q=data+science&l=Australia&start=20,Software Engineer,undefined,Australia,2022-08-16,3.3,100075-112725
Murdoch Childrens Research Institute,AUSTRALIA,"  Systematic and accurate data entry. Degree qualification or studying for a degree qualification in science or related discipline, OR.",jobs?q=data+science&l=Australia&start=20,Clinical Trial Assistant,undefined,Parkville VIC,2022-08-11,4.6,60895-68954
