company_name,country,job_description,job_field,job_title,job_type,non_remote_location,post_date,rating,salary
Heathrow,United Kingdom,"  A good knowledge of forecasting, machine learning and data modelling approaches. Providing data analytics and advanced modelling, you’ll support operational…",data scientist,Data Scientist,full-time,London,2022-08-12,4.0,
"JPMorgan Chase Bank, N.A.",United Kingdom,  Good understanding of relevant algorithms and data structures. Familiarity with Python and the associated data science ecosystem.,data scientist,NLP Data Scientist,permanent,Glasgow,2022-08-11,3.8,
University of Warwick,United Kingdom,"  Research solutions to a range of specific data problems; SME Capital has experience building data products used by lenders &amp; investors, and range from risk…",data scientist,Data Scientist,undefined,London,2022-08-05,3.8,32862
Marks &amp; Spencer,United Kingdom,  You will collaborate closely with colleagues within the Food Data Science team as well as the Supply Chain FOA team and the Data Engineering and Data Quality…,data scientist,Data Scientist,permanent,London,2022-08-09,3.8,
Evotec,United Kingdom,"  This role would suit a data scientist with a keen interest in learning the requirements for DMPK data processing, or an assay scientist experienced in designing…",data scientist,Data Scientist,full-time,Abingdon,2022-08-16,,
Department for Education,United Kingdom,"  The ideal candidate will be imaginative and motivated by a keen interest in data science techniques, with the tenacity to improve methods and maximise insights.",data scientist,Customer Analysis Data Scientist Apprentice,undefined,Manchester M1,2022-07-23,3.7,30332-33371
Propel Together,United Kingdom,"  You will be able to identify the best opportunities for named entity recognition, topic analysis and sentiment analysis on large volumes of social media data.",data scientist,Data Scientist – NLP,undefined,Remote in Glasgow G2,2022-08-02,,60000-80000
Access,United Kingdom,  Undertake data cleaning and transformation to produce analysis datasets from both structured and unstructured data sources.,data scientist,Graduate Data Scientist,permanent,Hybrid remote in Loughborough,2022-08-06,4.5,
Green Energy Options,United Kingdom,"  Is experienced at analysing real world data using Python, Pandas, and Python visualisation libraries. As a Data Scientist, you will use your expertise in data…",data scientist,Data Scientist,permanent,Remote,2022-08-10,,
Defence Science and Technology Laboratory,United Kingdom,"  Big data engineering and data flow orchestration. The ability to apply statistical rigour, critical thinking and creative problem solving to a variety of data…",data scientist,Data Scientists &amp; Data Engineers,undefined,Hybrid remote in Huntingdon PE28,2022-08-06,3.0,25052-65117
"JPMorgan Chase Bank, N.A.",United Kingdom,  Help the LOB stakeholders innovate through data-driven decisioning by querying data and merging information from diverse data sources to create rich datasets…,data scientist,Data Analyst / Data Scientist - Chase,permanent,London,2022-08-14,3.8,
