company_name,country,job_description,job_field,job_title,job_type,non_remote_location,post_date,rating,salary
Slalom Consulting,USA,"  Work closely with project teams to build predictive models for a wide variety of applications, including sales forecasting, customer analytics, pricing…",data scientist,Data Scientist,undefined,"Denver, CO 80202 (Central Business District area)",2022-08-16,3.8,125000-155000
White Plains Hospital,USA,"  Develop analytics functionality that relieves clinical staff from manual data functions, increases productivity and increases the speed of data availability.",data scientist,Data Scientist,full-time,"White Plains, NY 10601",2022-08-16,4.0,
Yelp,USA,"  Communicate key insights from analyses, experiments and data products to stakeholders. Prior industry experience building online experimentation and machine…",data scientist,Data Scientist (Remote),undefined,Remote,2022-07-17,3.4,88000-220000
Cisco Systems,USA,"  As Data Scientist, you will be working with a team of other data scientists in DS&amp;I as well as business partners across GML and cross functional teams.",data scientist,Data Scientist,,"San Jose, CA+2 locations",2022-08-11,4.1,
PGA Tour,USA,"  1-3 years of data analytics and data programing experience. This position will turn data into information and visualizations, develop KPIs, and extract key…",data scientist,Data Scientist,full-time,"Ponte Vedra Beach, FL",2022-07-17,4.3,
Salesloft,USA,  2+ years experience as a data scientist or machine learning engineer. Apply various machine learning and data science techniques to solve sales business…,data scientist,Data Scientist,,"Remote in Atlanta, GA",2022-08-16,4.3,
PACCAR,USA,"  The Advanced Analytics team works on a variety of projects; from predictive analytics models to support Operations, to prescriptive analytics to support…",data scientist,Data Scientist (SG 25/31/32),,"Denton, TX 76205+2 locations",2022-07-17,3.6,
Convoy,USA,"  You will be responsible for defining core business logic in our data warehouse, developing insights to drive product decisions, and building data science models…",data scientist,Data Scientist (All Levels),,"Seattle, WA 98101 (Downtown area)+1 location",2022-07-17,3.7,
Kroger General Office,USA,  Experience with leading data science projects from conception to production. Any prior experience with project planning with large size or highly complex…,data scientist,Data Scientist (KTD),full-time,"Cincinnati, OH 45202 (Central Business District area)",2022-08-10,3.4,
Tendo Systems,USA,"  Knowledge of statistical and data mining techniques: GLM/regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc.",data scientist,Data Scientist,full-time,Remote,2022-08-15,,
Spotify,USA,"  Partner closely with the other data scientists, user researchers, and data engineers to help inform, build and test hypotheses to deliver actionable insights…",data scientist,"Data Scientist, Spotify For Artists",,"Remote in New York, NY+4 locations",2022-07-17,4.3,
