company_name,country,job_description,job_field,job_title,job_type,non_remote_location,post_date,rating,salary
Lime,AUSTRALIA,"Lime is the world's largest shared electric vehicle company. We are on a mission to build a future of transportation that is shared, affordable and carbon-free…",marketing specialist,Marketing and Public Relations Specialist (Remote in Austral...,undefined,Remote in Sydney NSW+1 location,2022-07-17,,60
Unisson Disability,AUSTRALIA,Marketing Specialist The Opportunity · 12-month permanent part-time position – working 2 to 3 days per week. · Develop your marketing career with a leading…,marketing specialist,Marketing Specialist,undefined,Remote in Sydney NSW,2022-07-17,3.0,70000
Kmart,AUSTRALIA,"Brighter Futures Start here As Australia’s biggest and most loved retailer, we’ve been brightening up everyday life for families for over 50 years. At our…",marketing specialist,Campaign Marketing Specialist,,Mulgrave VIC,2022-08-06,3.8,
Impressive,AUSTRALIA,About the job We’re looking for a smart and energetic CRM &amp; Loyalty Specialist who speaks the same language we do. You've got great experience in all aspects…,marketing specialist,Email Marketing Specialist,full-time,South Yarra VIC,2022-07-17,,
Nick Scali Furniture,AUSTRALIA,Join Australia’s leading furniture retailer Play a role in Nick Scali’s digital future Hands-on role to execute marketing and communication initiatives. Nick…,marketing specialist,Digital Marketing Specialist,,North Ryde NSW 2113,2022-08-16,3.3,
Disrupt Digital,AUSTRALIA,"Full time opportunity | WFH available (Hybrid) | No weekend work! Fun, collaborative, &amp; innovative culture | Career development opportunities Located in…",marketing specialist,Digital Marketing Specialist - Google Ads,undefined,Remote in Fortitude Valley QLD 4006,2022-08-04,,70000-90000
Nerdcore,AUSTRALIA,Reporting To: Director Manager Summary: The Digital Marketing Specialist plays a pivotal role in the Nerdcore Computers. Essentially the DMS is responsible…,marketing specialist,Digital Marketing Specialist,,Melbourne VIC,2022-07-26,,
Humanology,AUSTRALIA,"Unique opportunity with an innovative South Australian company Full time, permanent position with development opportunities Generous salary &amp; Work from home…",marketing specialist,Marketing &amp; Communications Specialist,full-time,Hackham SA 5163,2022-08-15,,
Zip Co,AUSTRALIA,"Before we dive into the role, let’s talk about flexibility. Our Zipsters can choose where and when they work by taking full advantage of our hybrid-work…",marketing specialist,"Brand, Campaigns &amp; Social Marketing Specialist - ANZ",full-time,Sydney NSW,2022-08-13,,
GenesisCare,AUSTRALIA,At GenesisCare we want to hear from people who are as passionate as we are about innovation and working together to drive better life outcomes for patients…,marketing specialist,Multichannel Marketing Specialist,full-time,Sydney NSW,2022-07-17,2.7,
FREDDY,AUSTRALIA,"Love fashion? Love Freddy pants? Want to join a creative and vibrant team of professionals? Originating in Italy, FREDDY has been synonymous with sportswear…",marketing specialist,Influencer Marketing Specialist,full-time,Remote in Chadstone VIC 3148,2022-07-17,,
Watts Water Technologies,AUSTRALIA,This position is to support local business team to drive market demand through pull-through strategy and build brand awareness and enhance customer engagement…,marketing specialist,Marketing Specialist,full-time,Melbourne VIC,2022-07-21,,
Siemens Healthineers,AUSTRALIA,Do you want to join us in helping to fight the world's most threatening diseases and enabling access to care for more people around the world? At Siemens…,marketing specialist,Marketing Specialist,full-time,Remote in Melbourne VIC,2022-07-17,,
DNA Talent,AUSTRALIA,"Digital Marketing Specialist About Our customer is a major provider of mobile messaging solutions around the world. Cutting edge of messaging technology,…",marketing specialist,Digital Marketing Specialist,full-time,Melbourne VIC,2022-07-17,,
Nimbl Digital,AUSTRALIA,"Responsibilities We are on the hunt for a junior-level marketer, looking to develop their skills and forge a career in the Digital Marketing industry. This…",marketing specialist,Junior Digital Marketing Specialist / Graduate,undefined,Remote in Mitcham VIC,2022-08-14,,50000-60000
Luxury Escapes,AUSTRALIA,"  Demonstrated knowledge and familiarity of data-driven personalised B2C marketing. We are now looking for a Marketing Automation Specialist, to support Luxury…",marketing specialist,Marketing Automation Specialist,full-time,Sydney NSW,2022-07-17,4.7,
Sarah Gardner Fine Jewellery,AUSTRALIA,"  Is experienced in a digital marketing or social media marketing role. Development and execution of marketing campaigns across multiple channels, including…",marketing specialist,Marketing and Social Media Specialist,part-time,Paddington NSW,2022-07-27,,
Mercer,AUSTRALIA,  Build organic social posts (content to come from broader marketing team). Provide ongoing optimization and suggestions to broader marketing team and digital…,marketing specialist,"Digital Marketing Specialist (SEM, Social, Paid)",full-time,Melbourne VIC,2022-07-17,,
Worldline,AUSTRALIA,"  Proven experience as marketing specialist or similar role in Business, finance or technology industries. The Product Marketing specialist works with the Go To…",marketing specialist,Product Marketing Specialist,,Melbourne VIC,2022-08-03,3.7,
