company_name,country,job_description,job_field,job_title,job_type,non_remote_location,post_date,rating,salary
KPMG,Canada,  Collaborate with our national and regional marketing teams in the development and execution of integrated marketing and communications programs.,marketing specialist,Marketing Specialist,full-time,"Calgary, AB",2022-08-07,3.9,
Canucks Sports &amp; Entertainment,Canada,"  Post-secondary education in a related field such as marketing or business management. Leading the strategic planning, production, and execution of major…",marketing specialist,Marketing Specialist - Vancouver Warriors,full-time,"Vancouver, BC",2022-08-13,4.1,
McDonald's Corporate,Canada,"  2-3 years of marketing experience in consumer retail or service marketing. Responsible for internal review and approval of marketing campaigns, to ensure they…",marketing specialist,Marketing Specialist,full-time,"Hybrid remote in Toronto, ON+1 location",2022-08-03,3.5,
WWF,Canada,  3-5 years of marketing experience. Develop and manage workback schedules for marketing deliverables. Knowledge and understanding of digital marketing best…,marketing specialist,"Specialist, Brand &amp; Marketing",,"Remote in Toronto, ON",2022-08-11,4.1,
LayerZero Labs Canada Inc.,Canada,"  Plan and direct advertising and marketing campaigns. Conduct online marketing, E-commerce and Website promotions. Act as spokesperson for an organization.",marketing specialist,marketing specialist - advertising,undefined,"Vancouver, BC",2022-07-23,,175000-200000
SSENSE,Canada,  Translate high-level objectives into marketing requirements. Work with the Creative Production and Design teams to ensure all necessary marketing and brand…,marketing specialist,Associate Marketing Specialist,full-time,"Montréal, QC",2022-07-31,3.1,
University of British Columbia,Canada,"  Experience with marketing and promotions. Researches and explores digital marketing trends in higher education student recruitment marketing, and advises on how…",marketing specialist,Digital Marketing Specialist,undefined,"University of British Columbia (Okanagan campus), BC+1 location",2022-07-30,4.1,5906-8508
Laura Canada,Canada,"  Is responsible for the email marketing calendar plan. 3+ years in email marketing, and communications. Stays up to date with evolving technologies and trends…",marketing specialist,Email Marketing Specialist,full-time,"Laval, QC",2022-08-14,3.4,
amdocs,Canada,  Supporting the delivery of Vubiquity’s marketing and branding strategies. Actively taking part in marketing campaigns and organizing meetings and events.,marketing specialist,Marketing Specialist,,Remote in Ontario,2022-08-06,3.8,
City of Burnaby,Canada,"  This is specialized communications, marketing and public engagement work across all City departments. Ability to plan, develop, coordinate, execute and evaluate…",marketing specialist,Marketing and Communications Specialist (Public Engagement),undefined,"Burnaby, BC",2022-08-12,3.7,6011-6264
dbrand,Canada,"  ""dbrand marketing"" and ""[your company's name] marketing"" might end up being identical search queries. Regularly report on key business and digital marketing…",marketing specialist,Email Marketing Specialist,undefined,Remote,2022-08-04,3.5,55000-75000
Siemens,Canada,"  Develop annual marketing strategies, and manage the marketing budget and spending for respective businesses. Over 5 years of successful experience in marketing…",marketing specialist,Marketing Specialist,full-time,"Remote in Oakville, ON",2022-07-17,4.0,
