company_name,country,job_description,job_field,job_title,job_type,non_remote_location,post_date,rating,salary
Gymshark,United Kingdom,"  Supporting in the implementation and execution of Talent &amp; Entertainment marketing activations this includes events, shoots &amp; talent key moments.",marketing specialist,Entertainment Marketing Specialist (UK),,Solihull,2022-08-05,4.2,
South Pole,United Kingdom,"  Internship in product marketing or related role ideally in a B2B, consumer goods or sustainability sector. You will use these customer insights and competitive…",marketing specialist,Junior Solution Marketing Specialist,internship,London WC1X,2022-08-06,,
Lisa Hills Create Your Reality,United Kingdom,  Develop and implement marketing strategies and campaigns. Highly organised with excellent time management skills. In this role you will be responsible for:,marketing specialist,Marketing Specialist,part-time,Remote in London,2022-08-08,,
Just Retirement,United Kingdom,"  Interest and/or knowledge in marketing, particularly financial services marketing. Maintaining working knowledge of content management and marketing automation…",marketing specialist,HTML/CSS developer - marketing,,Reigate,2022-08-13,4.0,
The Union MMU,United Kingdom,"  + Someone with significant previous experience of working in a similar promotional marketing role and of events marketing. £26,653 per annum plus 40 days leave.",marketing specialist,COMMERICAL MARKETING SPECIALIST,undefined,Manchester,2022-08-11,,26653
Clarks,United Kingdom,  Working cross-function with brand and retail teams.,marketing specialist,Performance Marketing Specialist,,Somerset,2022-08-16,3.7,
Kroo,United Kingdom,  Performing risk assessments on new personal account applications. Obtaining information and supporting documentation to complete KYC due diligence.,marketing specialist,Onboarding Specialist,full-time,Remote in London,2022-08-04,,
Thermo Fisher Scientific,United Kingdom,  Studying a Bachelors degree in marketing. This is achieved through marketing excellence and continuously introducing new and/or better marketing communication…,marketing specialist,12 months Associate Marketing Specialist Placement,full-time,Paisley,2022-08-13,3.5,
"NuVasive, Inc.",United Kingdom,  Requires relevant work experience in marketing and project management. Experience developing social media and email marketing content preferred.,marketing specialist,"Associate Marketing Specialist, International Marketing (Rem...",,Temporarily Remote,2022-07-29,,
Moderna,United Kingdom,  Assist the Pharmacovigilance Country Head with close oversight of all PV activities across Moderna’s portfolio and throughout the clinical development and post…,marketing specialist,"Pharmacovigilance Country Specialist - UK, Ireland &amp; Nordics",,London,2022-08-11,,
AVL,United Kingdom,"  Understanding marketing elements and approaches (with specific focus on digital marketing such as SEO, Google AdWords, Social Media).",marketing specialist,Marketing Specialist,undefined,Basildon,2022-07-27,,35000-40000
Devonshire,United Kingdom,  You will be a recent marketing graduate who is eager to put all that you have learnt into practice. They will coach and mentor you to become an experienced…,marketing specialist,Junior Marketing Specialist,undefined,London,2022-07-21,,17
Live Nation,United Kingdom,  1-3+ years product marketing experience. Bachelor’s Degree in marketing or closely related field. The Product Marketing Specialist provides support in the…,marketing specialist,Product Marketing Specialist,full-time,London,2022-07-23,4.1,
Three,United Kingdom,  Briefs key stakeholders and wider internal teams of marketing plans and activities. Tracks weekly performance against spend and acts as the marketing department…,marketing specialist,Marketing Specialist - SMARTY,,Reading,2022-07-27,3.6,
UBS,United Kingdom,  Instigate and lead on transformational marketing projects to deliver on marketing plans and realize growth and efficiencies for UBS-AM Marketing.,marketing specialist,Marketing Strategy / Planning Specialist,full-time,London,2022-08-03,3.8,
YAMAHA Music Europe,United Kingdom,  MI Strategy is a section of Yamaha Music UK handling Marketing and Promotions for Yamaha Music Instruments (MI) in the UK.,marketing specialist,Digital Marketing Specialist,full-time,Milton Keynes,2022-07-20,,
PwC,United Kingdom,  Agility to learn and follow new processes quickly and efficiently. Engaged in the development and improvement of new and existing processes.,marketing specialist,Support Specialist - 12M FTC,full-time,Remote in Birmingham,2022-08-11,4.0,
Logitech,United Kingdom,"  Implementation, monitoring and review of the Amazon specific marketing plans against predetermined KPI’s. We are looking for a candidate who is passionate about…",marketing specialist,Amazon Marketing Specialist - UK&amp;I,full-time,Windsor,2022-07-22,4.0,
Centrica,United Kingdom,"  Lead the interface with marketing, and complete initial assessment of marketing derived leads, including review of grid, sizing and land/planning.",marketing specialist,Renewables Origination Specialist,full-time,Remote in Windsor SL4,2022-08-16,3.4,
