company_name,country,job_description,job_field,job_title,job_type,non_remote_location,post_date,rating,salary
DNA Talent,AUSTRALIA,  Creative mindset to innovate product lines. Lead the subcategory brand and product IP. Proficiency with Microsoft products and other information systems.,product manager,Product Manager,full-time,Melbourne VIC,2022-07-17,,
Flight Centre,AUSTRALIA,"  As the Product Manager you’ll be responsible for the product planning and execution throughout the product life cycle, including: gathering and prioritising…",product manager,Senior Product Manager (Customer Engagement),full-time,Hybrid remote in Queensland,2022-07-17,3.5,
Google,AUSTRALIA,"  Experience managing day-to-day product direction. Bachelor's degree in Computer Science, a related technical field, or equivalent practical experience.",product manager,"Product Manager, Chrome OS",full-time,Sydney NSW,2022-07-17,4.3,
Immutable X,AUSTRALIA,  Experience in product for one of the major NFT marketplaces. We commit to paying globally competitive salaries and contributions &amp; we share our products'…,product manager,Product Manager - IMX Marketplace,full-time,Remote,2022-08-15,,
NSW Government -Department of Customer Service,AUSTRALIA,"  Manage end-to-end product lifecycle, helping to define, de-risk and execute against product vision. Lead multi-disciplinary Agile team to manage the product…",product manager,Product Manager,undefined,Hybrid remote in New South Wales,2022-08-10,,131094-151609
The Just Group,AUSTRALIA,  Supporting the product team with administrative needs. Great product discount to be used on all brands. Assisting the Buying Manager in the sampling approval…,product manager,Junior Product Manager,full-time,Melbourne VIC,2022-07-17,3.6,
Global Land Supply,AUSTRALIA,  Participate in Scrum meetings and product sprints. Develop test cases and assist with product testing. Oversee all stages of product creation including design…,product manager,Product Delivery Manager - Flights,full-time,Queensland,2022-07-17,3.5,
Vodafone,AUSTRALIA,  Lead transformation with P&amp;L initiatives from capex product initiatives to launching revenue impacting product launches.,product manager,Product Manager,full-time,Remote in North Sydney NSW,2022-07-17,3.9,
InfoTrack,AUSTRALIA,  The Product Manager role is responsible for the product strategy and tactical implementation of our core products.,product manager,Product Manager,,Australia,2022-08-06,3.9,
Jacobs,AUSTRALIA,  Extensive experience in digital product management and product development across a broad range of industry sectors will be highly regarded.,product manager,Digital Product Manager,full-time,Melbourne VIC,2022-08-06,3.9,
Toll Global Express,AUSTRALIA,"  Drive the execution of all product lifecycle processes for products, including product research, market research, competitive analysis, planning, positioning,…",product manager,Product Manager,full-time,Melbourne Airport VIC+4 locations,2022-08-14,3.6,
Atlassian,AUSTRALIA,"  We partner closely with engineers, product managers, content and UX designers across Atlassian as well as external language service providers to localize and…",product manager,Product Localisation Manager,full-time,Sydney NSW,2022-08-12,4.4,
Google,AUSTRALIA,"  Experience in product management or design with a focus on internet products and technologies. Be the expert on our target users, how they interact with our…",product manager,"Product Manager, Maps, Automotive",full-time,Sydney NSW,2022-07-17,4.3,
NSW Government -Service NSW,AUSTRALIA,  Proactively seek to unify our customers’ experience across the product offering by engaging with other product teams. You will think big and work small.,product manager,Principal Product Manager,undefined,Hybrid remote in Sydney NSW+1 location,2022-07-17,4.0,142087-170935
Worldline,AUSTRALIA,  Initiating and supporting implementation projects for new products or product features related to (but not limited to) acquiring platform developments.,product manager,Acquiring Product Manager,,Melbourne VIC,2022-07-17,3.7,
MasterCard,AUSTRALIA,"  In this role you will be working with an expert team of creatives, SMEs, product development specialists and developers to deliver product innovation events at…",product manager,"Manager, Product Experience Design",full-time,St Leonards NSW,2022-08-03,4.0,
Eneraque,AUSTRALIA,  Driving revenue growth for all pumping products. Building relationships with new and existing clients. Developing and executing sales strategies.,product manager,Product Manager (Pumps),,Brisbane QLD,2022-07-17,,
Maersk,AUSTRALIA,"  Responsible for delivering a dynamic, sellable product to Maersk customers and the execution of all operations tasks on time and on plan to support our…",product manager,LCL Product Manager,full-time,Sydney NSW 2000,2022-07-17,4.1,
SS&amp;C Technologies,AUSTRALIA,"  Minimum 2 years of experience in product design / business analysis / product management. In this position, you will lead product roadmap initiatives end-to-end…",product manager,Aloha Product Manager,full-time,Melbourne VIC,2022-08-05,3.2,
Relie Check,AUSTRALIA,  A background or interest in product development. Prototype and present new product expansion ideas on our platform. Graduate with 0-2 years experience.,product manager,Associate product manager,undefined,Sydney NSW 2000,2022-07-17,,55000-75000
ResMed,AUSTRALIA,  Your extensive and broad experience of 9+ years in product management or the medical device healthcare industry will set you in good stead to hone in on…,product manager,Lead Product Manager (Product Innovation),full-time,Sydney NSW,2022-07-17,3.8,
VicTrack,AUSTRALIA,"  The Product Manager is a key position encompassing end-to-end responsibility for delivering the business Products roadmap, driving strategic vision for our…",product manager,Product Manager,full-time,Docklands VIC,2022-07-20,3.1,
Oracle,AUSTRALIA,  You will interact frequently with customers and other managers. Frequently interacts with supervisors and/or functional peer group managers.,product manager,Product Support Manager,,Brisbane QLD,2022-07-17,3.8,
TikTok,AUSTRALIA,  You will organize and articulate ambiguous and complex ideas or issues into clear documentation and analysis.,product manager,"Product Policy Manager, Oceania",,Sydney NSW,2022-07-17,,
AGCO,AUSTRALIA,"  The Commercial Services Specialist, APA role is to implement the deployment, marketing and adoption of AGCO's Commercial Services portfolio across Asia Pacific…",product manager,"Commercial Services Product Manager, APA",,Sunshine VIC,2022-08-09,3.8,
SS&amp;C Technologies,AUSTRALIA,"The speed of technology. The influx of data. Shifting regulations. Increased customer expectations. That's where you'll find DST, helping clients find…",product manager,Product Manager,full-time,Melbourne VIC,2022-07-17,3.2,
