company_name,country,job_description,job_field,job_title,job_type,non_remote_location,post_date,rating,salary
Royal Bank of Canada,Canada,  Closely track internal progress and proactively communicate potential delays with stakeholders. Assist in evaluating ROI for suite of products by assessing cost…,product manager,Product Manager,full-time,"Toronto, ON",2022-08-06,4.0,
"Grammarly, Inc.",Canada,"  Dive deep into existing user research and experimental data, then develop a forward-looking research plan to craft your team’s vision and roadmap.",product manager,"Product Manager, Revision Experience",undefined,Remote,2022-07-17,,156000-286000
Canadian Blood Services,Canada,"  The ability to foster and maintain strong professional relationships with key stakeholders, and the ability to communicate effectively and assertively in order…",product manager,Product Review Manager (Pharmacist) - Remote,undefined,"Remote in Ottawa, ON",2022-08-16,3.6,90000-114000
Method:CRM,Canada,"  Create product requirements and product spec docs for your developers to execute on. Become acquainted with your product area, the product goals, and those you…",product manager,Associate Product Manager,undefined,"Temporarily Remote in Toronto, ON",2022-08-16,,60000-70000
"Tivix, Inc.",Canada,"  You will work with client stakeholders, internal software engineering, and UI/UX design teammates to bring clarity and alignment from start to finish.",product manager,Associate Product Manager,full-time,Remote,2022-08-11,,
Meta,Canada,"  Incorporate data, research and market analysis to inform product strategies and roadmaps. Experience of going through a full product lifecycle, integrating…",product manager,Product Manager | Chef de produit,full-time,+1 locationRemote,2022-07-17,4.1,
MasterCard,Canada,  You have experience presenting roadmaps to a variety of internal and external stakeholders while managing delivery expectations and feature capabilities.,product manager,"Manager, Product Management",full-time,"Hybrid remote in Vancouver, BC",2022-08-03,4.0,
Royal Bank of Canada,Canada,"  You will lead the technology research, planning, design, development, and implementation of diverse and highly complex Identity &amp; Access Management (IAM)…",product manager,CIAM Product Manager (GCS),full-time,"Calgary, AB",2022-07-17,4.0,
"Grammarly, Inc.",Canada,"  The team is fairly large and works with several sub-teams, and you’ll need to work closely with engineering leadership to ensure smooth and efficient operations…",product manager,"Senior Product Manager, New Product Experiences",undefined,Remote,2022-08-02,,156000-286000
Scotiabank,Canada,  Works closely with all stakeholders to build brand new products and services that meet those needs. 5+ years of experience working as a product manager shipping…,product manager,"Product Manager, Scotia Digital",,"Remote in Toronto, ON",2022-08-16,3.9,
Algolia,Canada,  Collaborate with product design and research to build a world-class design system that enables lovable customer experiences.,product manager,"AMER: Staff Product Manager, Dashboard Platform",,Remote,2022-08-16,,
"The Travelers Companies, Inc.",Canada,"  Two years of experience in Agile product management preferred. Understand and implement team goals and strategy, ensuring alignment with circle and value stream…",product manager,Product Manager,full-time,"Toronto, ON",2022-08-13,3.7,
Morgan Stanley,Canada,"  Communicate the vision, roadmap, and status of projects across the team, internal stakeholders, clients, and executives.",product manager,Product Manager,full-time,"Calgary, AB",2022-07-17,3.8,
Perpetua,Canada,"  Define product strategy and optimize our customer experience using a variety of inputs, and clearly articulate rationale behind product decisions.",product manager,Product Manager,full-time,"Remote in Toronto, ON",2022-08-16,,
"AMZN CAN Fulfillment Svcs, ULC",Canada,"  3+ years of experience in developing product roadmaps and functional specifications, launching new products, conducting customer research, and informing user…",product manager,Product Manager III,undefined,"Vancouver, BC+32 locations",2022-07-17,3.5,115800-154600
Alloy,Canada,"  Collaborate with engineering and design teams to ship new products and features, including documenting technical specifications, coordinating the development…",product manager,Product Manager,full-time,"Vancouver, BC",2022-08-01,,
Spare Labs,Canada,"  Bridge the gap between internal and external stakeholders to define requirements. Be accountable for product roadmaps, product strategy, resource allocation,…",product manager,Product Manager (remote optional),undefined,"Remote in Vancouver, BC",2022-07-17,,110000-140000
Ocean by CognisantMD,Canada,"  You will collaborate with multiple stakeholders to assess the problems our customers need solved and their alignment with our existing platform, core…",product manager,Product Manager,full-time,"Toronto, ON",2022-08-16,,
Priceline.com,Canada,"  Lead product development initiatives utilizing user and competitive research. Have product ownership of our internal testing platform, you will need to…",product manager,Product Manager,full-time,"Toronto, ON",2022-08-11,,
Deloitte,Canada,  Minimum of 3-5 years of experience as a project manager with direct experience in technology operations and support and completed post-secondary program or…,product manager,Project/Product Manager,,"Toronto, ON",2022-07-21,3.9,
NEOGOV,Canada,"  You will be shaping the product roadmap and solving real problems for public service employees. Comprehensive Benefits package (medical, dental, vision, etc.)…",product manager,Product Manager,full-time,Remote in Ontario,2022-08-13,3.6,
Royal Bank of Canada,Canada,  3+ years of experience in a sophisticated Finance environment with an understanding of retail banking products. Working knowledge of database design concepts.,product manager,"Manager, Canadian Banking Product Control",full-time,"Toronto, ON",2022-08-10,4.0,
Auxita,Canada,"  In conjunction with your manager, work to maintain the product roadmap. 2 years of experience in a consumer-facing product or product marketing management role.",product manager,Junior Product Manager,full-time,Remote,2022-07-17,,
Ada Inc.,Canada,"  You will be responsible for building and maintaining our chat actions framework, building new integrations that automate workflows, and proposing strategic…",product manager,"Product Manager, Chat Actions &amp; Integrations",full-time,Canada,2022-07-17,4.0,
Aritzia,Canada,"  Health Benefits - Comprehensive health, vision and dental packages for eligible employees. Execute and improve the digital product enhancement lifecycle.",product manager,eCommerce - Digital Product Manager,full-time,"Vancouver, BC",2022-07-30,3.4,
Kodak,Canada,"  Create product backlog by performing ROM estimates, leading the quarterly prioritization process, creating the necessary epics for engineering and communicating…",product manager,Product Manager,full-time,"Vancouver, BC",2022-07-17,3.9,
Flight Centre Travel Group,Canada,  Define key product requirements throughout the customer journey and influence internal teams towards high-value products. Generous paid-time off policy.,product manager,"Product Manager - Umapped - Hybrid, Vancouver",full-time,"Remote in Vancouver, BC",2022-07-17,3.5,
"Grammarly, Inc.",Canada,  Lead the creation of both the product and playbook to ensure every developer succeeds with Grammarly. Drive the successful adoption of our developer product…,product manager,"Senior Product Manager, Grammarly for Developers",undefined,Remote,2022-07-17,,156000-289000
Capital One,Canada,"  3+ years of experience as a people manager in the product &amp; tech spaces. 5+ years of experience working in financial services, technology, or operations.",product manager,Product Manager,full-time,"Toronto, ON",2022-07-29,3.9,
AgencyAnalytics,Canada,  3+ years as a product manager. Experience in a product manager role at a SAAS. Collaborate with the product team on product strategy and vision for your…,product manager,Product Manager,full-time,+9 locationsRemote,2022-07-17,3.7,
