company_name,country,job_description,job_field,job_title,job_type,non_remote_location,post_date,rating,salary
Deloitte,United Kingdom,"  Work alongside a great team of product managers, delivery managers, designers and engineers. Develop and maintain the product roadmap and product backlog.",product manager,"Product Manager, Deloitte Ventures, Consulting, London",permanent,London,2022-08-16,3.9,
HM Revenue and Customs,United Kingdom,  Lead one or more multi-disciplinary teams to deliver products and constantly exploit opportunities to improve the product set through all stages of the product…,product manager,Product Manager,undefined,Newcastle upon Tyne,2022-08-05,3.6,52598-59294
"JPMorgan Chase Bank, N.A.",United Kingdom,"  In a dynamic role in the Cyber Security Governance, Risk &amp; Controls function you will be focused on enabling the propagation and adoption of the Technology…",product manager,Product Manager,permanent,Glasgow+1 location,2022-08-13,3.8,
DC Thomson,United Kingdom,"  Working with commercial teams to maximise revenue opportunities across our audiences, brands and digital products.",product manager,Product Manager – Energy,permanent,Remote in Dundee,2022-07-17,4.2,
Google,United Kingdom,"  Experience in building and scaling consumer, lifestyle, gaming or entertainment based products with a focus on User engagement.",product manager,"Product Manager, Google Arts and Culture",,London,2022-07-17,4.3,
Marks &amp; Spencer,United Kingdom,"  Experience in product management, demonstrating successful development and delivery of product strategies, roadmaps through to product launch and optimisation.",product manager,Product Manager,permanent,Hybrid remote in London,2022-08-13,3.8,
Tyl,United Kingdom,"  We’re looking for a strategy-led individual to monitor product performance, support the development of the product category strategy and develop product…",product manager,Product Manager,permanent,London,2022-08-10,,
Lindus Health,United Kingdom,"  Technology and product minded with experience of the software development process, e.g. utilising common tools such as Jira. 2+ years of work experience.",product manager,Clinical Product Manager,,Hybrid remote in London,2022-08-16,,
UBS,United Kingdom,"  Minimum 8 years’ experience in product management including bringing new products to market, a plus if in the financial services industry.",product manager,Product Manager – UBS Next,full-time,London,2022-07-22,3.8,
Synapri,United Kingdom,  Experience in E2E product delivery. Extensive Product Management or Product Ownership experience (preferably with SaaS products).,product manager,Product Manager,undefined,Remote,2022-07-28,,45000-63500
Live Nation,United Kingdom,"  Working with the sports product team to deliver product vision and strategy for Sports products. Agile product management techniques, including Epic and Story…",product manager,Product Manager - Sports,full-time,Stoke-on-Trent ST4,2022-07-17,4.1,
Octopus Energy,United Kingdom,  We put the customer first wherever we are in the business and work empathetically with one another to deliver the best possible outcomes.,product manager,Product Manager,full-time,Remote in London,2022-07-27,4.2,
Electronic Arts,United Kingdom,  Act as product ambassador articulating the product vision clearly and accurately to stakeholders and development teams alike.,product manager,Junior Product Manager,full-time,Guildford GU1,2022-07-17,3.8,
Jaguar Land Rover,United Kingdom,"  Ensure all opportunities are taken to actively manage technical debt of specialist products, playing down tech debt during product capability releases and…",product manager,Product Manager - Sustainability,undefined,Hybrid remote in Gaydon,2022-07-23,3.7,56700-85000
Sainsburys,United Kingdom,"  You will be focused on understanding customer needs for specific services &amp; products, building and owning the product roadmap and delivering the strategy for…",product manager,Product Manager - Tech,permanent,London EC1N,2022-08-16,3.6,
Ripple,United Kingdom,  Identify strategic and tactical product opportunities to grow product adoption. We are seeking an experienced product manager to drive new and existing products…,product manager,"Product Manager, CBDC's",,Remote in London,2022-08-09,,
MasterCard,United Kingdom,  Collaborate with the Product Manager to understand product requirements and define the ‘what’ during product development.,product manager,"Manager, Product Management",full-time,Hybrid remote in London,2022-08-03,4.0,
NHS South Central and West Commissioning Support...,United Kingdom,Please switch to a desktop device before starting your application. Data Management and Architecture services (DMA) are pleased to announce the advertisement…,product manager,Product Delivery Manager,undefined,+1 locationRemote,2022-08-05,3.7,47126-53219
Siemens,United Kingdom,  We are looking for a talented product manager responsible for simulation software pricing analysis and recommendations for Simcenter Products and product…,product manager,Simcenter Pricing and Packaging Product Manager,full-time,London,2022-08-04,4.0,
Vable,United Kingdom,  Translate product strategy into detailed requirements for prototype construction and final product development by engineering teams.,product manager,Product Manager (Lead),undefined,Remote,2022-08-16,,70000-90000
"JPMorgan Chase Bank, N.A.",United Kingdom,  You will track competitor product offerings and assess against our own product's position in the market. You will act as the UK product and market expert for…,product manager,Product Manager- UK Payments - Chase UK,permanent,London,2022-08-08,3.8,
"JPMorgan Chase Bank, N.A.",United Kingdom,"  Finally, the product manager is expected to track industry trends and the competitive landscape as they pertain to her product.",product manager,Product Manager - Database / Platform Services,permanent,London,2022-07-22,3.8,
HSBC,United Kingdom,"  Work closely with marketing, compliance, IT and Legal to deliver key initiatives on product management (new sales, existing product management etc).",product manager,Product Manager,permanent,Birmingham,2022-08-09,4.0,
Volkswagen,United Kingdom,"  Working closely with HQ to understand and influence the VWFS product roadmaps, translating enterprise commercial objectives to local product strategy.",product manager,Senior Product Manager,undefined,Hybrid remote in Milton Keynes MK15,2022-08-09,4.1,57000
Live Nation,United Kingdom,"  Understanding of agile product management techniques, including Epic and Story creation. Defining product specifications using clear and consistent user stories…",product manager,Product Manager - Discovery,full-time,London,2022-07-17,4.1,
