company_name,country,job_description,job_field,job_title,job_type,non_remote_location,post_date,rating,salary
Home Depot / THD,USA,"  Advocates for the end user and stakeholder by becoming associated with the product, empathizing with and understanding user needs.",product manager,Associate Product Manager (Remote),undefined,"Remote in Atlanta, GA 30301+1 location",2022-08-16,3.7,130000
Spotify,USA,"  Define and analyze metrics that inform the success of products. Own product vision, goals, strategy and roadmaps for the team, and be accountable for a clear…",product manager,"Product Manager, Growth Opportunities",,"Remote in New York, NY+1 location",2022-08-16,4.3,
REI,USA,"  Uses tools to conduct discovery with their product team, such as user surveys, data analytics, cohort analyses and journey mapping.",product manager,"Product Manager, SEO",undefined,"Remote in Seattle, WA",2022-08-06,4.1,75000-147500
Under Armour,USA,"  You write specifications and lead multidisciplinary teams (engineering, design, project management, etc.) to deliver features to our consumers.",product manager,"Product Manager, Cart &amp; Checkout",,Remote,2022-08-11,3.8,
Call Box,USA,"  Responsible for the product planning and execution throughout the product life cycle, including gathering and prioritizing product and client requirements and…",product manager,Senior Product Manager,undefined,"Dallas, TX 75231 (Northeast Dallas area)",2022-08-16,,100000-150000
Home Depot / THD,USA,"  Identifies goals, metrics, and analytics to determine product value; continually making recommendations and refinements to the product backlog based on…",product manager,Product Manager (Remote),undefined,"Remote in Atlanta, GA 30301+10 locations",2022-08-12,3.7,180000
Two Barrels,USA,"  Lead cross functional product teams. As a Product Manager, you will work with our Product Designers, Stakeholders, and a full stack of skillsets to own our…",product manager,Product Manager,undefined,Remote,2022-07-21,,65000-120000
BuildZoom,USA,  Experience achieving business outcomes through user centered design. 2+ years of experience in a product role. Excellent written and verbal communication.,product manager,Junior Product Manager (Remote-US),undefined,"Remote in San Francisco, CA+1 location",2022-07-27,3.8,90000-120000
Fantuan,USA,  Track core business metrics related to the product. Advise product teams on the global feasibility of products throughout the product life cycle.,product manager,Product Operation Manager,,"Seattle, WA",2022-07-17,3.5,
Global Payments,USA,"  Ability to set the vision, strategy, define success metrics and make decisions around product growth. The Product Strategy and Innovation team analyzes industry…",product manager,"Manager, Product Strategy",full-time,Remote in Georgia,2022-08-16,3.4,
Everside Health,USA,  Defines product features and drives adoption that will lead to improved end user adoption and satisfaction. Delivers incremental value with product releases by…,product manager,"Product Manager, Clinical Experience (Remote)",undefined,"Remote in Denver, CO 80202+1 location",2022-07-17,3.1,115000-130000
Paramount+,USA,"  Manage a backlog of user stories to deliver features, improvements and fixes most critical to meeting our business, product and team goals.",product manager,"Product Manager, CMS (Remote)",full-time,"Remote in New York, NY 10036+7 locations",2022-08-14,3.9,
Global Payments,USA,"  Collaborates on strategic direction with product team and engineering based on current market conditions and feedback from merchants, channels, and partners.",product manager,"Product Manager, Digital Wallet",full-time,"Charlotte, NC+3 locations",2022-08-16,3.4,
Shutterfly 2.0,USA,"  Drive downstream product deliverables associated with a given initiative including business cases, hypotheses, user requirements, and acceptance criteria.",product manager,Product Manager,undefined,+7 locationsRemote,2022-08-12,,96600
"Barnes &amp; Noble Education, Inc.",USA,  User Science &amp; Empathy – Employ user science to identify high potential user problems and successfully evaluate a product’s user impact.,product manager,"Product Manager (Open to Remote, Full-Time)",full-time,"Basking Ridge, NJ 07920",2022-08-16,3.8,
HostGPO Inc,USA,"For our Product Manager (PM) role, we are looking for an entrepreneurially-minded individual who can lead initiatives end-to-end and work closely with…",product manager,Product Manager,undefined,"Remote in Los Angeles, CA 90024",2022-08-13,,120000-180000
WholesomeCo Cannabis,USA,Translates product strategy into detailed requirements for final product development by cultivation and processing teams. Must be 21 years of age or older.,product manager,Product Manager,undefined,"Centerville, UT 84014",2022-08-09,,90000-105000
Werum,USA,You work with the Product Management team to establish product objectives and ensure alignment with both organizational and PAS-X product goals.,product manager,Product Manager: Cell and Gene,undefined,"Cary, NC 27518+1 location",2022-08-11,3.7,124000
See's Candies,USA,"Working closely with the Director of E-Commerce and a dedicated engineering team, as well with team members from all areas of the business (including…",product manager,Ecommerce Product Manager,,"Carson, CA 90810",2022-08-13,4.3,
Meta,USA,"In this role, your primary responsibility will be to develop and facilitate sound program management practices in support of the Enterprise Products…",product manager,"Enterprise Program Manager, Product Operations",,+12 locationsRemote,2022-07-17,4.1,
Bisnow,USA,Deliver on strategic product roadmap items with a special emphasis on data related projects + features. Proven track record of building data first products.,product manager,Data Product Manager,full-time,"Seattle, WA",2022-08-16,4.3,
Bartleby,USA,User Science &amp; Empathy – Employ user science to identify high potential user problems and successfully evaluate a product’s user impact.,product manager,"Product Manager (Open to Remote, Full-Time)",full-time,"Basking Ridge, NJ 07920",2022-08-16,,
Redfin,USA,"5+ years of experience as a software product manager. Generous benefits, including three weeks of paid vacation, medical, dental, and vision insurance, and…",product manager,Senior Product Manager - Home Services,undefined,"Remote in Seattle, WA",2022-08-13,3.4,139400-154100
PrizePool,USA,"Inform product decisions with quantitative and qualitative data on user behavior and experimentation (e.g. a/b testing, survey data, usability studies).",product manager,Growth Product Manager,undefined,"Remote in San Francisco, CA",2022-07-17,,50000
"Amazon Web Services, Inc.",USA,Experience using data and metrics to drive improvements. 5+ years of experience in program or project management. Bachelor’s Degree or equivalent experience.,product manager,"Nonprofit Product Program Manager , AWS Nonprofits",undefined,+1 locationRemote,2022-07-17,3.4,115600-185000
Etsy,USA,You’ll also partner with product and engineering leaders to improve operations and drive the strategy that will ultimately result in tooling that becomes the…,product manager,"Product Design Manager, Enablement",full-time,"Remote in Brooklyn, NY 11201+1 location",2022-08-11,4.3,
Vivid Seats,USA,"Define features through clearly written user stories as part of an Agile delivery team; verify stories are implemented as intended, records bugs, and assist the…",product manager,Product Manager (B2C Mobile),full-time,Remote,2022-07-17,3.6,
WebTPA,USA,"Lead metric definition to translate expectations into KPIs and operational metrics. Serve as the lead, partnering closely with Executive Sponsor(s), Business…",product manager,IT Product Manager,full-time,"Irving, TX",2022-08-09,4.0,
Microsoft,USA,"The role requires influencing a diverse group of stakeholders across field, partner, finance, business development, and engineering organizations.",product manager,Product Marketing Manager,full-time,"Redmond, WA 98052 (Overlake area)+19 locations",2022-08-16,4.2,
Discord,USA,You'll build close bonds with your corresponding engineering and product management leaders to influence product strategy and ensure world-class product…,product manager,"Product Design Manager, Communities",undefined,"Remote in San Francisco, CA 94107+1 location",2022-07-17,4.4,158000
Microsoft,USA,"Do you want to be at the center of the three Microsoft clouds (Azure, Microsoft365, and Microsoft Dynamics) empowering customers and partners to secure their…",product manager,Product Manager 2,full-time,"Atlanta, GA+10 locations",2022-08-11,4.2,
L. L. Bean,USA,We invite you to be part of our team of trailblazers dedicated to helping people discover and enjoy the outside. Come join us. Because on the inside we’re all…,product manager,"Associate Product Manager, Email",full-time,"Freeport, ME",2022-08-03,4.2,
Career Soft Solutions,USA,"Location: Atlanta, GA Duration: Long Term Description: Hiring Project/Product Manager for a contract role in Atlanta! *POS or Retail experience*…",product manager,Project/Product Manager,undefined,"Atlanta, GA 30304 (Lakewood Heights-Southeastern area)",2022-07-17,,70
Yelp,USA,"Yelp is looking for a Senior Product Manager to build state-of-the-art ads features and algorithms. In this highly visible and impactful role, you’ll work on…",product manager,Sr. Product Manager - Ads (Remote),undefined,"Remote in San Francisco, CA+3 locations",2022-08-13,3.4,90000-230000
Gathi Analytics,USA,Company Description: Apexon is a digital-first technology services firm backed by Goldman Sachs Asset Management and Everstone Capital. We specialize in…,product manager,Product Manager,contract,"Detroit, MI",2022-08-11,,
Nordstrom Inc,USA,"Job Description The Senior Product Manager is a key member of the Nordstrom Product Management team, championing the customer experience evolution through…",product manager,"Senior Product Manager, Stores - REMOTE",undefined,Remote,2022-07-17,3.9,114000-176500
"Kyndryl, Inc.",USA,"Why Kyndryl Our world has never been more alive with opportunities and, at Kyndryl, we’re ready to seize them. We design, build, manage and modernize the…",product manager,Product Manager,undefined,"Austin, TX",2022-07-26,3.5,153255-212300
Braintrust,USA,"ABOUT US: Braintrust is the only network that gives in-demand talent all the freedom of freelance with all the benefits, community and stability of a full…",product manager,Junior Product Manager [Remote],undefined,"Remote in San Francisco, CA+1 location",2022-07-17,4.5,45-55
NEOGOV,USA,About This is a remote role from anywhere in the US and Canada. NEOGOV is a #1 policy and compliance management platform for high-trust organizations and is…,product manager,Product Manager,full-time,+4 locationsRemote,2022-08-13,3.6,
Hummingbird,USA,"Hummingbird is a remote-first, fully distributed team united by the shared mission of helping fight financial crime. Since our launch in 2017, we’ve helped…",product manager,Product Marketing Manager,,Remote,2022-08-05,3.4,
"Global Healthcare Exchange, Inc.",USA,"At Lumere, we are clinicians, researchers, engineers, analysts, marketers, and strategic thought leaders focused on one mission: helping hospital leaders and…",product manager,Product Manager - Lumere,undefined,"Remote in Chicago, IL+3 locations",2022-07-17,,105500-140650
Kinside,USA,About Kinside Kinside tackles the single most challenging part of being a working parent in the modern world: child care. We’re guided by the principle that…,product manager,Product Manager (Remote),undefined,"Remote in San Francisco, CA",2022-07-17,,125000
Tread,USA,Tread is looking for a Product Manager to join our growing team and create a best-in-class product that supports our customers' needs to better move…,product manager,Product Manager,full-time,Remote,2022-07-17,,
FedEx Logistics,USA,"The Product Manager leads an Agile program in delivering the right business solutions, at the right time, to the right customers and stakeholders. Builds…",product manager,Agility Product Manager,undefined,"Remote in Miami, FL 33126+3 locations",2022-07-17,4.0,73235-127316
HERE Technologies,USA,"What's the role?: What's the role? As our digital and physical lives become increasingly inter-connected, our map of the world is rapidly changing. With…",product manager,Technical Product Manager I,full-time,"Chicago, IL 60606 (West Loop Gate area)+1 location",2022-08-16,3.8,
Upstart,USA,  Update our customers on new features through both internal and external channels. Three (3) years of experience in product marketing or other relevant marketing…,product manager,"Associate Product Marketing Manager, Auto Retail",,"Remote in San Mateo, CA+1 location",2022-08-16,3.3,
Cisco Systems,USA,  5+ years of overall experience with a strong background in product development and/or product management. 1+ years of product management or like role experience…,product manager,Product Manager,,"Research Triangle Park, NC+9 locations",2022-08-12,4.1,
Orion Advisor Solutions,USA,"  Define features and user stories for the enhancement and development of new technologies. Maintain knowledge of UX best practices, advocate for UX consistency…",product manager,Product Manager,full-time,"Remote in Omaha, NE",2022-08-16,3.0,
ROHDE &amp; SCHWARZ GmbH &amp; Co. KG,USA,City/region Remote (USA) Entry level Professionals Employment Type Ref. Number…,product manager,Product Manager,,+3 locationsRemote,2022-08-08,3.9,
The Walt Disney Company (Corporate),USA,• An employee at this level is an experienced professional specializing in a given functional field by developing a depth/breadth of…,product manager,Lead Product Manager,,"Celebration, FL+1 location",2022-08-08,4.1,
John Deere,USA,  Experience in product marketing for technology products. Advocate for our customers and dealer channel partners to drive customer and business value into…,product manager,Product Marketing Manager,,"Urbandale, IA+1 location",2022-08-16,4.0,
Cambium Learning Group,USA,"  Develops a strong understanding of the Learning A-Z product portfolio, including product functionality, features, target audience, use cases, and value…",product manager,Product Marketing Manager,full-time,Remote,2022-08-16,3.1,
TEAM Software by WORKWAVE,USA,  Evaluate and validate with engineering team members the effort estimates for user stories and features. Develop and maintain product documentation.,product manager,Jr. Product Owner,full-time,+3 locationsRemote,2022-08-16,,
"Employment Opportunities at BuzzFeed, Inc.",USA,"  Work closely with product analytics to understand the how readers are using the HuffPost apps and other HuffPost products, and how to achieve business goals by…",product manager,"Product Manager, HuffPost",,"Remote in New York, NY+1 location",2022-07-17,,
Vans,USA,"  You can review a general overview of each benefit program offered, including this year's medical plan rates on www.MyVFbenefits.com and by clicking Looking to…",product manager,"Manager, Product Stewardship",undefined,"Denver, CO",2022-08-06,4.1,92000-138000
Slalom Consulting,USA,  Experience operating as a product manager or product owner with a proven track record of creating and prioritizing user stories.,product manager,Product Manager,,"Detroit, MI",2022-08-16,3.8,
Home Depot / THD,USA,"  Advocates for the end user and stakeholder by becoming associated with the product, empathizing with and understanding user needs.",product manager,SR PRODUCT MANAGER,undefined,"Atlanta, GA 30301+3 locations",2022-08-16,3.7,190000
"Axuall, Inc.",USA,  You have 2+ years of experience as a product manager at a SaaS company. Develop and own key parts of our data and integration product strategy and roadmap.,product manager,Associate Product Manager,,Hybrid remote,2022-08-15,,
