company_name,country,job_description,job_field,job_title,job_type,non_remote_location,post_date,rating,salary
Apple,Canada,Experience with software performance analytics a plus. The Apple Special Projects Group (SPG) is searching for a talented software engineer to work on building…,software engineer,Introspection Software Engineer,,"Ottawa, ON",2022-08-16,4.1,
Proofpoint,Canada,"Work closely with multi-disciplinary product teams to ensure designs meet user needs, product requirements, and technical constraints, while ensuring timely…",software engineer,Software Engineer,full-time,"Toronto, ON",2022-08-16,3.6,
Apple,Canada,Building software and systems to manage platform infrastructure and applications. Experience producing with at least one JVM based language.,software engineer,Software Engineer,,"Vancouver, BC+1 location",2022-08-12,4.1,
Skye Marketing Ltd.,Canada,"Lead and co-ordinate teams of information systems professionals in the development of software and integrated information systems, process control software and…",software engineer,SOFTWARE ENGINEER,undefined,"Surrey, BC",2022-08-15,,53
Apple,Canada,"Bachelor’s degree in computer science or related field, and equivalent work experience. To deliver such a rich experience at this scale, the engineers build…",software engineer,iOS Software Engineer- App Store,,"Vancouver, BC",2022-08-15,4.1,
GLENTEL,Canada,Bachelor's degree in computer science or software engineering (or equivalent). Exposure to using Agile (or similar) software development methodologies.,software engineer,Junior Software Developer,full-time,"Burnaby, BC",2022-07-28,3.9,
NAV Canada,Canada,"Software integration, software configuration management and software testing. Degree from a recognized university or community college with an acceptable…",software engineer,Junior Software Developer,undefined,"Ottawa, ON",2022-08-16,4.1,81635-99208
ESC Corporate Services Ltd.,Canada,or equivalent experience Computer and Technology Knowledge C++ CSS Java JavaScript MySQL Ruby SQL Workplace information Remote work available Screening…,software engineer,software developer,undefined,"Remote in Vernon, BC",2022-08-16,,51000-77000
Romet Limited,Canada,"We offer market competitive salaries. Our mission is centered on customer satisfaction through responsive deliveries, technical support and customer service…",software engineer,Software Engineer (Remote),full-time,"Remote in Mississauga, ON",2022-08-16,3.7,
VanHack,Canada,"Keep up with our API partners as they grow and change (Facebook, Twitter, Salesforce… that kind of API partners!).",software engineer,"Software Engineer, Python",undefined,"Vancouver, BC",2022-08-04,,100000
