company_name,country,job_description,job_field,job_title,job_type,non_remote_location,post_date,rating,salary
"JPMorgan Chase Bank, N.A.",United Kingdom,"  Close partnership with the IT team globally, make enhancements to existing software applications, develop and maintain high quality reusable code.",software engineer,Java full stack -Software Engineer,full-time,London+1 location,2022-08-15,3.8,
Apple,United Kingdom,"  An obsession for detail and a willingness to challenge and create collaboratively. You are able communicate thoughtfully, demonstrating problem-solving skills…",software engineer,Apple Pay - Software Engineer,full-time,London,2022-08-14,4.1,
CITADEL ENTERPRISE EUROPE LIMITED,United Kingdom,"  As an engineer, you can create systems architectures, develop platforms and build web frameworks. You’ll have access to state-of-the-art tools and apply…",software engineer,Software Engineer- Full Time (Europe),full-time,London,2022-07-26,,
Citadel Securities,United Kingdom,"  As an engineer, you can create systems architectures, develop platforms and build web frameworks. You’ll have access to state-of-the-art tools and apply…",software engineer,Software Engineer- Full Time,full-time,London,2022-07-26,,
CITADEL ENTERPRISE EUROPE LIMITED,United Kingdom,"  As an engineer, you can create systems architectures, develop platforms and build web frameworks. You’ll have access to state-of-the-art tools and apply…",software engineer,Software Engineer – Intern (Europe),internship,London,2022-07-26,,
Rockstar Games UK,United Kingdom,  NET/C# Developer who are passionate about developing innovative automation solutions that enhance creative workflows. Knowledge or prior experience with WPF.,software engineer,.NET/C# Software Developer (All Levels),full-time,Remote in Lincoln+1 location,2022-08-10,,
"JPMorgan Chase Bank, N.A.",United Kingdom,"  Assesses the vision of the business or key stakeholders and advises on technology options, risks, and costs versus benefits of various approaches.",software engineer,Python - Software Engineer,full-time,London+1 location,2022-08-13,3.8,
"JPMorgan Chase Bank, N.A.",United Kingdom,"  Understanding of software skills such as business analysis, development, maintenance, and software improvement. BS/BA degree or equivalent experience.",software engineer,Software Engineer - Python,full-time,Glasgow,2022-08-14,3.8,
Siemens,United Kingdom,  They would join the Simcenter Flomaster development team and receive training and mentoring to develop as software engineers. 1-2 years relevant experience.,software engineer,Software Engineer,full-time,Towcester NN12+4 locations,2022-08-09,4.0,
PredictX,United Kingdom,  We are looking for someone with experience working with Natural Language Processing techniques to help us work on some of our current matching and modelling…,software engineer,NLP Software Engineer (Aug 2022),full-time,London,2022-08-16,,
Siemens,United Kingdom,  Support and coach junior and mid-level software engineers. Translate system requirements into software requirements. Conferring with team and customers.,software engineer,Specialist Software Engineer,full-time,Ashby-De-La-Zouch LE65,2022-08-16,4.0,
PwC,United Kingdom,  Familiarity with software engineering best practices. Proven working knowledge and experience of Python software development in industry or academia.,software engineer,Software Engineer,full-time,London+1 location,2022-07-27,4.0,
New Look,United Kingdom,  Supports design and implementation of software projects with guidance from senior engineers. Independently executes tasks with guidance from senior engineers.,software engineer,Junior Software Engineer,,London W1W,2022-08-16,3.5,
"JPMorgan Chase Bank, N.A.",United Kingdom,  Convert the Network and Security architecture to Infrastructure as Code. Implementation of set of tools and services for the secure development lifecycle.,software engineer,Public Cloud Software Engineer,full-time,London,2022-08-15,3.8,
The Trade Desk,United Kingdom,"  You are a broadly skilled engineer, interested in developing web services and building always-on systems, working across a variety of technologies and service…",software engineer,Entry Level / Junior Software Engineer,full-time,London,2022-07-17,,
Vodafone,United Kingdom,"  You'll need excellent communication and will have the opportunity to work on the creation, design &amp; functionality within key projects, spanning all of the…",software engineer,Software Engineer,full-time,Remote in London+1 location,2022-08-16,3.9,
Uniper,United Kingdom,"  As a Junior Software Engineer with our DevOps teams, you’ll write software code for our digital platform’s applications, work between teams and product owners…",software engineer,Junior Software Engineer,undefined,Remote in Ratcliffe on Soar,2022-07-23,,30000-35750
