company_name,country,job_description,job_field,job_title,job_type,non_remote_location,post_date,rating,salary
Humana,USA,  Utilize approved change management and project management processes in accordance with Humana Government Business procedures.,software engineer,Software Engineer 2,full-time,"Remote in Louisville, KY 40202+20 locations",2022-08-16,3.6,
Discord,USA,"  New York City residents only: Minimum salary of $214,000/year + equity and benefits*Note: Disclosure as required by NYC Pay Transparency LawColorado residents…",software engineer,Staff Software Engineer - Communities,undefined,+4 locationsRemote,2022-07-17,4.4,214000
Microsoft,USA,"  You will have opportunities to work on multiple layers of the technology stack, ranging from customer-focused user experience work, building scalable…",software engineer,Software Engineer I/II,full-time,"Redmond, WA 98052 (Overlake area)+97 locations",2022-08-10,4.2,
Maryland Courts,USA,  Serve as peer reviewer/writer in unit tests (java) and manually for code debugging purposes. Experience: Three (3) years of professional work experience in…,software engineer,Software Engineer I,undefined,"Annapolis, MD",2022-08-16,3.2,101012
"Twitch Interactive, Inc.",USA,"  Develop features and care for the final user experience. Work with engineers, product managers, designers, and other collaborators to build Moderation products.",software engineer,Software Engineer - Channel Moderation,full-time,"San Francisco, CA+126 locations",2022-07-17,3.5,
Zebra Technologies,USA,"  Performs system integration of software and hardware to maintain throughput and program consistency. Analyzes, develops, designs, and maintains software for the…",software engineer,"Software Engineer, I",undefined,"Remote in Holtsville, NY 11742+9 locations",2022-08-16,3.8,62500-93800
Nintendo of America Inc.,USA,  Internship at a software development company preferred. May assist in tool development with other engineers. Ability to read and debug other engineers’ code.,software engineer,Software Engineer I (NST),,"Redmond, WA+9 locations",2022-07-17,4.0,
TransPerfect,USA,"  Support software life-cycle, to include design, developing and testing under. Zero – two years of experience in software development and testing.",software engineer,Junior Software Engineer,full-time,"New York, NY+4 locations",2022-07-17,3.5,
Medallion,USA,  Work closely with senior engineers on technical architecture and project planning. You will work closely with senior members of the team on a variety of high…,software engineer,New Graduate Software Engineer,,"Remote in New York, NY 10011+3 locations",2022-07-17,4.0,
f5,USA,  F5 software engineers work closely on the delivery of loosely coupled software components and microservices integrated in public and private cloud architecture.,software engineer,2023 University Graduates - Software Engineer,full-time,"Seattle, WA+18 locations",2022-08-16,,
Vericast,USA,"  Coordinate with other engineering, analytics, and operations teams to build and improve our advertising products. Experienced in Scala, Python, or Java.",software engineer,Software Engineer I,full-time,+9 locationsRemote,2022-08-10,3.6,
Apple,USA,"  This is a core engineering role that requires you to be hands-on in coding, building and tuning highly scalable, distributed services that handle large volumes…",software engineer,Software Engineer (Early Career),,"Cupertino, CA+126 locations",2022-08-16,4.1,
Clubhouse,USA,"  You will work closely with our founders, ML Engineers, Data Scientists, Product Designers and other engineers to build recommendation systems, data pipelines…",software engineer,"Software Engineer, Discovery",full-time,+1 locationRemote,2022-08-16,4.2,
Nike,USA,"  Help design and build scalable software solutions to implement and integrate new technologies. Develop, code, configure, and test applications, systems and…",software engineer,Software Engineer,full-time,"Boston, MA 02116 (Back Bay area)+36 locations",2022-08-16,4.1,
Abbott Laboratories,USA,  Experience in applications programming and/or software development of embedded systems for safety critical products is a plus.,software engineer,Embedded Software Engineer Openings,full-time,"Alameda, CA+8 locations",2022-08-16,3.9,
Hewlett Packard Enterprise,USA,"  Participates as a member of project team of other software systems engineers and internal and outsourced development partners to develop reliable, cost…",software engineer,Early Career Networking Software Engineer,full-time,"Roseville, CA 95747+19 locations",2022-08-16,3.8,
BankUnited,USA,"  Perform a supporting engineering role in implementing new cloud projects. Assist in the automation of infrastructure provisioning to standup servers, install…",software engineer,Junior Cloud Engineer,full-time,"Miami Lakes, FL 33016",2022-07-17,3.6,
Code.org,USA,"  Experience working independently on software projects, including the ability to break down project work into smaller features and communicate status updates…",software engineer,Software Engineer (all levels),full-time,"Remote in Seattle, WA 98101+3 locations",2022-07-17,4.9,
Daxko,USA,  1-month paid sabbatical every 5 years. Professional experience in software engineering or another relevant field. No professional experience is required.,software engineer,Entry-level Software Engineer,full-time,"Augusta, GA 30907 (West Side area)",2022-08-07,3.2,
Fitch Group,USA,  Liaise with users and colleagues globally for the development and support of the software. Familiar with enterprise software development in JAVA or Javascript.,software engineer,Appian Software Engineer,,"New York, NY+19 locations",2022-08-16,,
Milliman,USA,"  Git • CSS, Javascript frameworks, HTML(5) • Python and Django • PHP • Ruby • Objective C (iOS) or Swift • . Work with staff to understand project requirements.",software engineer,Junior Software Engineer - Indianapolis Health,full-time,"Indianapolis, IN 46204 (Downtown area)+5 locations",2022-08-16,3.6,
WSP,USA,  Proficient performance with standard office software and tools. Assists in the preparation of standard reports and technical work.,software engineer,Junior Software Engineer,undefined,"Hybrid remote in Denver, CO",2022-07-17,3.8,46700-87900
