company_name,country,job_description,job_field,job_title,job_type,non_remote_location,post_date,rating,salary
Kmart,AUSTRALIA,"  As a UX/UI Designer in our Customer Technology team you will be supporting enhancements and creating new designs for applications, systems and services that are…",jobs?q=ui%20ux%20designer&l=Australia,UX/UI Designer,,Hybrid remote in Mulgrave VIC,2022-08-13,3.8,
Bilue,AUSTRALIA,"  The role of the UI/UX Product Designer (Mid) is to support and deliver user-centric design solutions for your team, your client and Bilue.",jobs?q=ui%20ux%20designer&l=Australia,UI/UX Designer,undefined,Remote in Sydney NSW,2022-08-15,,70318-136265
Macquarie Group Limited,AUSTRALIA,"  You’ll collaborate closely with teams of Product Owners, Business Analysts, Architects, Engineers, and other tech experts across the organisation.",jobs?q=ui%20ux%20designer&l=Australia,UX/UI Experience Design - Early Career Opportunities,permanent,Sydney NSW,2022-08-03,3.8,
RACV,AUSTRALIA,"  New Opportunity | Permanent Full Time | Hybrid Working. Competitive Salary | Discount on RACV Products. Reporting to the UX Design Lead, the UX Designer is…",jobs?q=ui%20ux%20designer&l=Australia,UX/UI Designer,permanent,Hybrid remote in Melbourne VIC,2022-08-15,3.4,
EY,AUSTRALIA,"  We are looking for Perth based candidates, though we have a flexible working environment whereby you are not required to be in the office all the time.",jobs?q=ui%20ux%20designer&l=Australia,UX Designer,undefined,Perth WA 6000,2022-07-17,4.0,73500
Cx Lavender,AUSTRALIA,"  Why not dive right in with a full-time, paid position in our Genus 2023 graduate program? As a successful applicant, you’ll start off with a rotation through…",jobs?q=ui%20ux%20designer&l=Australia,Graduate UX/UI Designer,permanent,Remote in Sydney NSW,2022-08-13,,
Flight Centre,AUSTRALIA,"  In line with industry best practice and standards, you’ll create features and products that holistically balance the needs of our customers and the business.",jobs?q=ui%20ux%20designer&l=Australia,UX/UI Designer,full-time,Hybrid remote in Queensland,2022-07-17,3.5,
AKQA,AUSTRALIA,"  You will collaborate with UX designers, researchers, product owners and developers to conceive and create innovative digital user experiences.",jobs?q=ui%20ux%20designer&l=Australia,Junior Experience Designer,,Sydney NSW,2022-08-08,3.4,
Infosys,AUSTRALIA,  Work with UI designers so they can move from medium to high fidelity. We hold fortnightly sprint planning sessions where each designer works with the POs and…,jobs?q=ui%20ux%20designer&l=Australia,UX UI Designer Role,,Sydney NSW,2022-07-17,3.9,
Electronic Arts,AUSTRALIA,  Work closely with designers and programmers to implement and test solutions that champion the player facing user experience.,jobs?q=ui%20ux%20designer&l=Australia,UI Designer,full-time,Melbourne VIC,2022-07-17,,
Servian,AUSTRALIA,  Strong passion and background in cutting edge UX/UI Design. Any consultative/ advisory experience will be highly regarded.,jobs?q=ui%20ux%20designer&l=Australia,UI/UX Designer,,Brisbane QLD,2022-07-27,3.5,
Healthengine,AUSTRALIA,"  The purpose of this role is to support our marketing, growth and product teams by producing both digital and non-digital assets to be used in marketing…",jobs?q=ui%20ux%20designer&l=Australia,Graphic/Web Designer,undefined,Remote in Perth WA,2022-07-22,4.2,80000-90000
Hustle Digital,AUSTRALIA,  Flexible with hours as it is contract work.,jobs?q=ui%20ux%20designer&l=Australia,UX/UI Designers Needed - Contract Work,undefined,Remote in Sydney NSW,2022-08-05,,30-70
New and Partnership Businesses,AUSTRALIA,  Work on a wide range of high impact projects. The UX/UI Designer role has the responsibility for delivering great experiences and ensuring our propositions are…,jobs?q=ui%20ux%20designer&l=Australia,UX/UI Designer,permanent,Hybrid remote in Darlinghurst NSW 2010,2022-08-09,,
Department of Premier and Cabinet,AUSTRALIA,"  Job type: Full time / Until 30 June 2024. As the UX/UI Designer, you will provide expert UX/UI services on multiple data capability uplift projects and programs…",jobs?q=ui%20ux%20designer&l=Australia,UX/UI Designer (VPSG5),undefined,Melbourne VIC+1 location,2022-08-13,3.7,103920-125735
Michael Hill,AUSTRALIA,"  Customer driven, creative, experience enhancer, curious, particular with details. Reporting to our UX Manager and working from our brand-new purpose-built…",ui ux designer,UX Designer,full-time,Brisbane QLD,2022-07-17,3.4,
ED - Group Support Functions,AUSTRALIA,"  Working within a cross-functional squad, the ideal candidate is highly motivated and have experience working in agile teams, collaborating closely with…",ui ux designer,UI Designer - Gamification,full-time,Darlinghurst NSW 2010,2022-08-06,,
Cotton On Group,AUSTRALIA,"  This role is responsible for undertaking conceptual graphic and digital design activities relating to seasonal, promotional and in-house marketing content in…",ui ux designer,Senior Designer (Body) - CO Brands Global Support Centre,full-time,Geelong VIC,2022-07-17,3.6,
Macquarie Group Limited,AUSTRALIA,"  In this role you will create intuitive, innovative and beautiful customer experiences that support growth and new client acquisition for a variety of retail…",ui ux designer,UX Designer - Marketing,permanent,Sydney NSW,2022-07-17,3.8,
WiseTech Global,AUSTRALIA,  Senior or higher User Researcher. Mid-level or higher User Experience Designer. Mid-level User Interface Designer. Mid-level or higher Content Designer.,ui ux designer,UI/UX Design Roles,full-time,Sydney NSW,2022-07-17,,
Relie Check,AUSTRALIA,  Work internally and with clients/customers to produce visual designs for product enhancements and new product concepts. Previous roles in the UX/UI/CX/VD space.,ui ux designer,User experience designer,undefined,Sydney NSW 2000,2022-07-17,,85000-105000
2XM Technology Pty Ltd,AUSTRALIA,"  Experience managing UX and UI designers is a must. You will bring the stakeholders on a journey, collaborating closely with BAs, UI designers, content,…",ui ux designer,UX/UI Design Lead,undefined,Sydney NSW,2022-07-29,,180000-200000
