company_name,country,job_description,job_field,job_title,job_type,non_remote_location,post_date,rating,salary
Deloitte,Canada,Gather and evaluate user requirements in collaboration with product managers and engineers. Develop and maintain design wire-frames and specifications.,jobs?q=ui%20ux%20designer&l=Canada,UX/UI Designer,,"Toronto, ON",2022-08-06,3.9,
HRdownloads,Canada,"Under the direction of Product Managers, the UI/UX Designer is primarily responsible for overseeing the creation of design solutions to ensure HRdownloads…",jobs?q=ui%20ux%20designer&l=Canada,UI/UX Designer,full-time,"Remote in London, ON",2022-08-06,4.0,
Endy,Canada,"As the Junior UX/UI Designer, you will provide a high level of support to our UX/UI Designers and will be hands-on by helping to visually communicate our brand…",jobs?q=ui%20ux%20designer&l=Canada,Junior UX/UI Designer,full-time,"Toronto, ON",2022-08-05,4.3,
Ubisoft,Canada,"You’ll assess business objectives, user needs and technological capacity and develop concrete solutions, then discuss and apply them in collaboration with the…",jobs?q=ui%20ux%20designer&l=Canada,UX Designer,full-time,"Remote in Winnipeg, MB+1 location",2022-07-17,3.8,
Assemblée nationale du Québec,Canada,"L’Assemblée nationale du Québec – Direction des communications – Équipe du Web et du graphisme - souhaite pourvoir un emploi régulier à Québec, au 1020, rue des…",jobs?q=ui%20ux%20designer&l=Canada,Une ou un designer Web UX/UI,undefined,"Remote in Capitale-Nationale, QC",2022-08-16,4.7,48488-90110
Teranet,Canada,"We also market insightful property and data solutions, as well as practice management automation to thousands of customers in the real estate, financial…",jobs?q=ui%20ux%20designer&l=Canada,UI/UX Designer (Fixed-Term Opportunity),full-time,"Toronto, ON",2022-08-03,3.8,
Ubisoft,Canada,"Respect ergonomic criteria such as information architecture, zonings, wireframes by working in concert with your UI designer;",jobs?q=ui%20ux%20designer&l=Canada,UX Designer - 1 year contract,full-time,"Montréal, QC",2022-07-27,3.8,
Finning International Inc.,Canada,"As an intermediate UX UI designer, you will have experience with all aspects of the UX lifecycle and can communicate effectively through product roadmaps,…",jobs?q=ui%20ux%20designer&l=Canada,Intermediate UX/UI Designer,full-time,"Vancouver, BC",2022-08-13,3.9,
Roadpost,Canada,The desire to collaborate with other designers and the confidence to work asynchronously / independently. The ability to sync up with ZOLEO product team and…,jobs?q=ui%20ux%20designer&l=Canada,"UX &amp; UI Designer (Freelance, Contractor)",,"Remote in Toronto, ON",2022-08-09,,
Royal Bank of Canada,Canada,"Our goal is to make every RBC Wealth Management customer touchpoint consistently outstanding. As a Senior UX Designer, you’ll provide UX direction to ensure the…",jobs?q=ui%20ux%20designer&l=Canada,UX Designer,,"Hybrid remote in Toronto, ON",2022-07-17,4.0,
Pilot PMR,Canada,"Working closely with art directors, UX designers and developers as well as other strategy and content related professionals. A passion for solving problems.",jobs?q=ui%20ux%20designer&l=Canada,Visual/UI Designer,undefined,"Toronto, ON",2022-07-17,,55000-70000
Viral Nation,Canada,"Participate in and lead UX/UI activities in a fast-paced Agile environment. Translate findings into usable, effective and efficient user experiences, journey…",jobs?q=ui%20ux%20designer&l=Canada,UI/UX Designer,full-time,"Toronto, ON",2022-07-24,4.4,
uniuni,Canada,Work with developers to produce high fidelity mock-ups and prototypes for interfaces. Conduct hands-on UX workshops with local customers to test and improve the…,jobs?q=ui%20ux%20designer&l=Canada,UI/UX Designer,full-time,"Richmond, BC",2022-07-17,4.7,
