company_name,country,job_description,job_field,job_title,job_type,non_remote_location,post_date,rating,salary
"JPMorgan Chase Bank, N.A.",United Kingdom,"  Produce user-centered designs and user journeys in collaboration with clients, stakeholders and the development team.",jobs?q=ui%20ux%20designer&l=United%20Kingdom,UI / UX Designer,permanent,Glasgow,2022-08-14,3.8,
EY,United Kingdom,"  You’ll work alongside more senior designers on meaningful client engagements, delivering amazing results. Improving their quality of life and solving their most…",jobs?q=ui%20ux%20designer&l=United%20Kingdom,"Product Designer (UX/UI), Consultant (entry level)",graduate,London SE1+1 location,2022-07-17,4.0,
"JPMorgan Chase Bank, N.A.",United Kingdom,"  As a UX Designer, you will bring a solid foundation in Design methodology, providing crucial support to ensure design projects meet business goals and deadlines…",jobs?q=ui%20ux%20designer&l=United%20Kingdom,UX/UI Designer,permanent,Glasgow,2022-08-02,3.8,
bet365,United Kingdom,  A Junior UIUX Analyst who will concisely document design specifications and visually test future and current enhancements made to our products.,jobs?q=ui%20ux%20designer&l=United%20Kingdom,Junior UI-UX Analyst,full-time,Hybrid remote in Stoke-on-Trent,2022-07-29,3.1,
Creditsafe,United Kingdom,"  We are looking for a Junior UI/UX Designer to turn our software into easy-to-use products for our customers. Illustrate design ideas using storyboards, process…",jobs?q=ui%20ux%20designer&l=United%20Kingdom,Junior UI/UX Designer,full-time,Caerphilly,2022-08-09,3.3,
Distributed,United Kingdom,"  Work closely with other designers, user researchers and product owners to ensure we are aligned around and continuously improving excellent end-to-end journeys.",jobs?q=ui%20ux%20designer&l=United%20Kingdom,UI/UX Designer,permanent,Remote in London SW1A,2022-07-21,,
AEG,United Kingdom,  Working with the Product Managers in the AEG Europe Application Development team to gather and document the requirements for new systems and enhancements to…,jobs?q=ui%20ux%20designer&l=United%20Kingdom,UX/UI Designer,,London SE1,2022-08-09,3.9,
Channel4,United Kingdom,  The cross-platform designer will be responsible for the UX and UI across all of our platforms in collaboration with our platform specialists.,jobs?q=ui%20ux%20designer&l=United%20Kingdom,All 4 UX / UI Designer,,London,2022-08-16,4.3,
STV,United Kingdom,"  STV Player is now pre-installed on 30M devices, including all major platforms, such as Sky Q, Sky Glass, Virgin Media, Amazon Fire TV and Freeview Play.",jobs?q=ui%20ux%20designer&l=United%20Kingdom,UX/UI Designer,,Hybrid remote in Glasgow,2022-08-13,3.9,
Rockstar Games UK,United Kingdom,  This is a full-time permanent position based out of Rockstar's unique game development studio in the heart of Edinburgh.,jobs?q=ui%20ux%20designer&l=United%20Kingdom,UX/UI Designer,permanent,Remote in Edinburgh,2022-08-10,,
Lorien,United Kingdom,  My client a top pharmaceutical company are looking for a UX/UI Designer to join their team on a 6-month contract working from home or based in Dublin.,jobs?q=ui%20ux%20designer&l=United%20Kingdom,UX/UI Designer - Outside IR35 Contract,undefined,Remote in London,2022-07-27,,400-450
University of Nottingham,United Kingdom,  This business-critical role requires a forward-thinking and highly collaborative person. Using your specialist knowledge and skills and the application of…,jobs?q=ui%20ux%20designer&l=United%20Kingdom,UX/UI Designer,undefined,Hybrid remote in Nottingham,2022-08-13,4.1,32348-43414
Coventry Building Society,United Kingdom,"  As part of the Digital Design team, you’ll be responsible for user journeys across our digital member and colleague facing platforms.",jobs?q=ui%20ux%20designer&l=United%20Kingdom,UX/UI designer,undefined,Coventry,2022-08-05,3.8,35000
Clarks,United Kingdom,"  We want the Clarks customer experience to be as well designed as our shoes, therefore we need a talented Email/Digital Designer experienced in eCommerce to help…",jobs?q=ui%20ux%20designer&l=United%20Kingdom,Digital Designer,contract,Somerset,2022-08-16,3.7,
Client Server,United Kingdom,  Successful FinTech start-up is seeking a UX/UI Designer to join their team for a fully remote 3-month contract. You have an excellent eye for detail.,jobs?q=ui%20ux%20designer&l=United%20Kingdom,UX/UI Designer - Remote,undefined,Remote in London,2022-07-27,4.2,400
Yorkshire Building Society Group,United Kingdom,  Support UX designers in helping to shape the future of our digital products by working collaboratively to come up with innovative ways to solve our business…,ui ux designer,Junior User Experience Designer,permanent,Leeds LS1,2022-08-12,3.7,
Creative Resource,United Kingdom,"  They work with product-led businesses to provide a mix of digital design services, everything from branding to websites and apps.",ui ux designer,Junior-Midweight Digital Designer,undefined,Remote,2022-07-17,,30000
Rockstar Games UK,United Kingdom,"  We build bridges and foster close collaboration with teams across the business to turn the creative vision for the game into a seamless, high quality player…",ui ux designer,UX Designer,permanent,Remote in Dundee+1 location,2022-08-10,,
Additional Resources,United Kingdom,"  The UI/UX designer will be responsible for implementing and maintaining the company’s design system, creating new designs for the platform, and speaking with…",ui ux designer,UI/UX Designer,undefined,Remote in London,2022-08-13,,30000-40000
Yorkshire Building Society Group,United Kingdom,  Carry out usability testing and other forms of validation to improve and iterate your designs. Contribute towards our creative culture by helping to drive…,ui ux designer,User Experience Designer,undefined,Remote in Leeds LS1,2022-08-09,3.7,45000
Dunelm,United Kingdom,"  You will also be the voice of UX / UI within the crew, ensuring the customer's voice is heard, that the crew is data-driven and focus on design thinking while…",ui ux designer,Product Designer (UX / UI),permanent,Remote in London,2022-07-17,3.0,
GCS Recruitment Specialists Ltd,United Kingdom,  Must have previous experience of UX and UI across a logged in web portal and mobile app. Must be able to communicate clearly and walk through designs to…,ui ux designer,UX / UI Designer (Remote),undefined,Remote in London,2022-07-17,5.0,500
Source,United Kingdom,"  Be proficient in using software tools such as Figma, Sketch and Invision. The ability to showcase finished UI designs through their portfolio.",ui ux designer,UI / UX Designer,undefined,London,2022-08-04,,350-400
Indicia Worldwide,United Kingdom,"  Working closely with our UX lead, you’ll be involved from initial briefing and research to creating the specification, information architecture, user journeys,…",ui ux designer,Junior UX Designer,,Hybrid remote in Bristol BS1,2022-07-17,,
Consortia,United Kingdom,"  Wide range of experience as a service, UX, product or UI designer ideally for a big brand. High level of creativity, problem-solving skills.",ui ux designer,UX Designer,undefined,Remote in Coventry,2022-07-17,,55000
Asite,United Kingdom,  This role can be role can be based remotely with occasional travel to our London head office. In this role you will be responsible for gathering user…,ui ux designer,"UI/UX Designer - Remote/London, UK",,Remote in London,2022-07-17,,
Rockstar Games UK,United Kingdom,  This is a full-time permanent position based out of Rockstar's unique game development studio in the heart of Dundee City Centre.,ui ux designer,UI Designer,permanent,Remote in Dundee+1 location,2022-08-10,,
BT,United Kingdom,"  An inclusive and close-knit working environment. 25 days’ annual leave (not including bank holidays). Pension scheme - you contribute 5%, BT contributes 10%.",ui ux designer,Graphic Designer,full-time,Remote in Manchester,2022-08-06,3.7,
Swytch Bike,United Kingdom,"  Coming up with modern, creative design solutions to bring visual consistency and impact to our website. Optimising the UI and UX across pages to meet the needs…",ui ux designer,UX/UI Designer (Product),,Remote in London,2022-07-17,,
Oscar Technology,United Kingdom,  You will be designing this platform from the ground up and will have total autonomy over the platform. Day-to-day you will be responsible for communicating with…,ui ux designer,UX Designer,undefined,Remote in Manchester,2022-07-26,3.9,35000-50000
Ageas,United Kingdom,"  Contract Type: 12 month Fixed Term Contract - Part Time, Full Time, Job Share option available. Location: Remote with occasional office travel.",ui ux designer,UX/UI Designer,part-time,Remote in Bournemouth,2022-07-17,3.5,
Leeds Building Society,United Kingdom,  We can provide all of the training and skills you'll need to develop and grow in UX research so long as you have a strong web or graphic design background.,ui ux designer,UX Researcher/Designer,undefined,Hybrid remote in Leeds,2022-08-06,3.4,39500
Beeks Group,United Kingdom,  You will work with multiple development teams as a shared resource to provide your expertise to them and help them translate the user’s needs into great and…,ui ux designer,UI Designer,,Hybrid remote in Renfrew PA4,2022-07-17,,
Dunelm,United Kingdom,"  You will also be the voice of UX within the crew, ensuring the customer's voice is heard, that the crew is data-driven and focus on design thinking while…",ui ux designer,UX Designer (9 month FTC),contract,Remote in Syston,2022-07-22,3.0,
Deloitte,United Kingdom,"  We expect expertise in the main Adobe Suite (InDesign, Illustrator and Photoshop); we also expect expertise in the Microsoft Suite (PowerPoint and Word),…",ui ux designer,"Graphic Designer (Creative Lead), Client and Industries, Con...",permanent,Temporarily Remote in Belfast,2022-07-17,3.9,
Client Server,United Kingdom,"  There's a focus on user-centric design, creating intuitive user journeys and interfaces to make it possible for clients to easily access what they need to know.",ui ux designer,Junior Product Designer UI / UX,undefined,Hybrid remote in London,2022-07-29,4.2,35000-50000
NatWest Group,United Kingdom,"  Helping your colleagues to produce visual designs iteratively, working closely with UX designers to effectively communicate interaction and design ideas.",ui ux designer,Middleweight UI Designer,permanent,Birmingham+4 locations,2022-07-17,3.7,
Superdry,United Kingdom,"  Work to a brief to create engaging digital assets across ecommerce/performance channels, including website, email, affiliate/display and paid social with a…",ui ux designer,Digital Designer,,Cheltenham GL51,2022-08-04,3.6,
