company_name,country,job_description,job_field,job_title,job_type,non_remote_location,post_date,rating,salary
Denver Broncos and Stadium Management Company,USA,"  The UX/UI Designer will report to the Manager, Digital Development &amp; Experience and is responsible for coordinating, creating, planning and optimizing…",jobs?q=ui%20ux%20designer&l=United%20States,UX/UI Designer,undefined,"Englewood, CO 80112",2022-08-16,,60000-65000
TransPerfect,USA,  We’re looking for a User Experience (UX) Designer with a strong understanding of user research practices and Human Computer Interaction (HCI).,jobs?q=ui%20ux%20designer&l=United%20States,UI/UX Designer,full-time,"New York, NY+1 location",2022-08-16,3.5,
University of California Santa Cruz,USA,"  As an advocate for the end user, working closely with product teams and developers, applies skills as a seasoned user experience / user interface designer in…",jobs?q=ui%20ux%20designer&l=United%20States,UX/UI Designer - REMOTE,undefined,"Santa Clara, CA 95054+1 location",2022-07-20,4.3,81600-114253
Scholarships.com,USA,"  Understanding the needs of Scholarships.com users through independent or secondary research. Creating user flows, content maps, information architecture and…",jobs?q=ui%20ux%20designer&l=United%20States,UX/UI Designer,undefined,"Highland Park, IL 60035",2022-08-16,,80000-120000
LeewayHertz,USA,  The successful candidate will evidence a passion for delivering adaptive and creative solutions to UI/UX design problems by staying up to date with best…,jobs?q=ui%20ux%20designer&l=United%20States,UI / UX Designer,full-time,"San Francisco, CA 94111 (Financial District/South Beach area)",2022-07-17,,
Hive,USA,  You will work closely with the product team to conceptualize and execute on designs to solve problems for our products. Biased toward action and execution.,jobs?q=ui%20ux%20designer&l=United%20States,UI / UX Designer,full-time,"San Francisco, CA+1 location",2022-08-16,,
"Berkeley Research Group, LLC",USA,"  Collaborate with stakeholders, developers, and designers to guide design decisions; Applying UI skills to visually communicate with users and stakeholders;",jobs?q=ui%20ux%20designer&l=United%20States,UI/UX Designer,full-time,"New York, NY 10019 (Midtown area)+1 location",2022-08-11,3.5,
CrowdStrike,USA,  Collaborate with UX designers to create intuitive interaction patterns and information hierarchy. Collaborate with other designers on use of design system…,jobs?q=ui%20ux%20designer&l=United%20States,UI/Visual Designer (Remote),undefined,+17 locationsRemote,2022-07-17,3.4,145000-230000
Lloyd's Register Group,USA,"  The UX/UI designer will be expected to not only design but, ensure a great user experience. I4 Insight is looking for an experienced UX/UI Designer with…",jobs?q=ui%20ux%20designer&l=United%20States,UX/UI Designer,undefined,"Denver, CO 80111",2022-07-17,3.7,115000-135000
"UpHealth, Inc.",USA,"  Reports To: Software Engineer / UX Specialist. UI/UX Designer to address concerns in the SyntraNet product line, enhance and design new screens and workflows…",jobs?q=ui%20ux%20designer&l=United%20States,UI/UX Designer,full-time,Remote,2022-08-13,,
SkyHive Technologies Inc.,USA,"  Collaborate daily with Product Managers, Software Developers and other UX/UI designers in order to define, design and deliver extraordinary products.",jobs?q=ui%20ux%20designer&l=United%20States,UI/UX Designer,full-time,"Palo Alto, CA+1 location",2022-07-17,,
SEMBLY PTE. LTD.,USA,"  You will collaborate with other designers and engineers to identify new opportunities, improve features, and assist in laying the foundations of design for our…",jobs?q=ui%20ux%20designer&l=United%20States,Product UI / UX Designer,undefined,"Remote in Marina, CA",2022-08-13,,5000-9000
